Scan No ,Date,Time,RAW VALUE ,CALIBRATED VALUE
1,13/06/2023 , 08:05:00,0,0
2,13/06/2023 , 08:10:00,0,0
3,13/06/2023 , 08:15:00,0,0
4,13/06/2023 , 08:20:00,0,0
5,13/06/2023 , 08:25:00,294,21.6
6,13/06/2023 , 08:30:00,474,34.8
7,13/06/2023 , 08:35:00,0,0
8,13/06/2023 , 08:40:00,0,0
9,13/06/2023 , 08:45:00,0,0
10,13/06/2023 , 08:50:00,0,0
11,13/06/2023 , 08:55:00,235,17.3
12,13/06/2023 , 09:00:00,3167,232.5
13,13/06/2023 , 09:05:00,2686,197.2
14,13/06/2023 , 09:10:00,2302,169
15,13/06/2023 , 09:15:00,2057,151
16,13/06/2023 , 09:20:00,3018,221.6
17,13/06/2023 , 09:25:00,3072,225.6
18,13/06/2023 , 09:30:00,2863,210.2
19,13/06/2023 , 09:35:00,2793,205.1
20,13/06/2023 , 09:40:00,3563,261.6
21,13/06/2023 , 09:45:00,5189,381
22,13/06/2023 , 09:50:00,4833,354.9
23,13/06/2023 , 09:55:00,2704,198.5
24,13/06/2023 , 10:00:00,2078,152.6
25,13/06/2023 , 10:05:00,2514,184.6
26,13/06/2023 , 10:10:00,2706,198.7
27,13/06/2023 , 10:15:00,3129,229.7
28,13/06/2023 , 10:20:00,4052,297.5
29,13/06/2023 , 10:25:00,4497,330.2
30,13/06/2023 , 10:30:00,3986,292.7
31,13/06/2023 , 10:35:00,3120,229.1
32,13/06/2023 , 10:40:00,2851,209.3
33,13/06/2023 , 10:45:00,2573,188.9
34,13/06/2023 , 10:50:00,2531,185.8
35,13/06/2023 , 10:55:00,2568,188.6
36,13/06/2023 , 11:00:00,2605,191.3
37,13/06/2023 , 11:05:00,2202,161.7
38,13/06/2023 , 11:10:00,2388,175.3
39,13/06/2023 , 11:15:00,2780,204.1
40,13/06/2023 , 11:20:00,3372,247.6
41,13/06/2023 , 11:25:00,3588,263.4
42,13/06/2023 , 11:30:00,4269,313.4
43,13/06/2023 , 11:35:00,4242,311.5
44,13/06/2023 , 11:40:00,3836,281.7
45,13/06/2023 , 11:45:00,4014,294.7
46,13/06/2023 , 11:50:00,4106,301.5
47,13/06/2023 , 11:55:00,3785,277.9
48,13/06/2023 , 12:00:00,3713,272.6
49,13/06/2023 , 12:05:00,4274,313.8
50,13/06/2023 , 12:10:00,3747,275.1
51,13/06/2023 , 12:15:00,3531,259.3
52,13/06/2023 , 12:20:00,2684,197.1
53,13/06/2023 , 12:25:00,1528,112.2
54,13/06/2023 , 12:30:00,787,57.8
55,13/06/2023 , 12:35:00,479,35.2
56,13/06/2023 , 12:40:00,397,29.1
57,13/06/2023 , 12:45:00,445,32.7
58,13/06/2023 , 12:50:00,429,31.5
