Scan No ,Date,Time,RAW VALUE ,CALIBRATED VALUE
1,13/06/2023 , 08:05:00,0,0
2,13/06/2023 , 08:10:00,0,0
3,13/06/2023 , 08:15:00,0,0
4,13/06/2023 , 08:20:00,0,0
5,13/06/2023 , 08:25:00,152,10.8
6,13/06/2023 , 08:30:00,489,34.8
7,13/06/2023 , 08:35:00,0,0
8,13/06/2023 , 08:40:00,0,0
9,13/06/2023 , 08:45:00,0,0
10,13/06/2023 , 08:50:00,0,0
11,13/06/2023 , 08:55:00,446,31.8
12,13/06/2023 , 09:00:00,3029,215.7
13,13/06/2023 , 09:05:00,2529,180.1
14,13/06/2023 , 09:10:00,1976,140.7
15,13/06/2023 , 09:15:00,1408,100.2
16,13/06/2023 , 09:20:00,2534,180.4
17,13/06/2023 , 09:25:00,2691,191.6
18,13/06/2023 , 09:30:00,2506,178.4
19,13/06/2023 , 09:35:00,2465,175.5
20,13/06/2023 , 09:40:00,3140,223.6
21,13/06/2023 , 09:45:00,4674,332.8
22,13/06/2023 , 09:50:00,4403,313.5
23,13/06/2023 , 09:55:00,2269,161.5
24,13/06/2023 , 10:00:00,1963,139.8
25,13/06/2023 , 10:05:00,2409,171.5
26,13/06/2023 , 10:10:00,2575,183.3
27,13/06/2023 , 10:15:00,3003,213.8
28,13/06/2023 , 10:20:00,3830,272.7
29,13/06/2023 , 10:25:00,4193,298.5
30,13/06/2023 , 10:30:00,3745,266.6
31,13/06/2023 , 10:35:00,2940,209.3
32,13/06/2023 , 10:40:00,2689,191.4
33,13/06/2023 , 10:45:00,2430,173
34,13/06/2023 , 10:50:00,2387,169.9
35,13/06/2023 , 10:55:00,2413,171.8
36,13/06/2023 , 11:00:00,2448,174.3
37,13/06/2023 , 11:05:00,2078,147.9
38,13/06/2023 , 11:10:00,2263,161.1
39,13/06/2023 , 11:15:00,2624,186.8
40,13/06/2023 , 11:20:00,3176,226.1
41,13/06/2023 , 11:25:00,3387,241.1
42,13/06/2023 , 11:30:00,4040,287.6
43,13/06/2023 , 11:35:00,4022,286.4
44,13/06/2023 , 11:40:00,3644,259.4
45,13/06/2023 , 11:45:00,3811,271.3
46,13/06/2023 , 11:50:00,3896,277.4
47,13/06/2023 , 11:55:00,3596,256
48,13/06/2023 , 12:00:00,3560,253.5
49,13/06/2023 , 12:05:00,4071,289.8
50,13/06/2023 , 12:10:00,3568,254
51,13/06/2023 , 12:15:00,3386,241.1
52,13/06/2023 , 12:20:00,2568,182.8
53,13/06/2023 , 12:25:00,1450,103.2
54,13/06/2023 , 12:30:00,738,52.5
55,13/06/2023 , 12:35:00,444,31.6
56,13/06/2023 , 12:40:00,369,26.3
57,13/06/2023 , 12:45:00,413,29.4
58,13/06/2023 , 12:50:00,395,28.1
59,13/06/2023 , 12:55:00,395,28.1
60,13/06/2023 , 13:00:00,339,24.1
61,13/06/2023 , 13:05:00,288,20.5
62,13/06/2023 , 13:10:00,301,21.4
63,13/06/2023 , 13:15:00,414,29.5
64,13/06/2023 , 13:20:00,533,37.9
65,13/06/2023 , 13:25:00,606,43.1
