Site Name ,GROTTA-MAGO-2M
Site Number ,7
Logger ,Integrating Light Sensor
Logger Serial Number ,13350


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,19/09/2023 , 08:05:00,0,0
2,19/09/2023 , 08:10:00,0,0
3,19/09/2023 , 08:15:00,2,0.1
4,19/09/2023 , 08:20:00,0,0
5,19/09/2023 , 08:25:00,0,0
6,19/09/2023 , 08:30:00,17,1.2
7,19/09/2023 , 08:35:00,24,1.7
8,19/09/2023 , 08:40:00,512,36.5
9,19/09/2023 , 08:45:00,796,56.7
10,19/09/2023 , 08:50:00,843,60
11,19/09/2023 , 08:55:00,840,59.8
12,19/09/2023 , 09:00:00,651,46.3
13,19/09/2023 , 09:05:00,465,33.1
14,19/09/2023 , 09:10:00,542,38.6
15,19/09/2023 , 09:15:00,557,39.7
16,19/09/2023 , 09:20:00,525,37.4
17,19/09/2023 , 09:25:00,620,44.1
18,19/09/2023 , 09:30:00,706,50.3
19,19/09/2023 , 09:35:00,707,50.3
20,19/09/2023 , 09:40:00,703,50.1
21,19/09/2023 , 09:45:00,751,53.5
22,19/09/2023 , 09:50:00,785,55.9
23,19/09/2023 , 09:55:00,781,55.6
24,19/09/2023 , 10:00:00,830,59.1
25,19/09/2023 , 10:05:00,1035,73.7
26,19/09/2023 , 10:10:00,1129,80.4
27,19/09/2023 , 10:15:00,1161,82.7
28,19/09/2023 , 10:20:00,1175,83.7
29,19/09/2023 , 10:25:00,1216,86.6
30,19/09/2023 , 10:30:00,1162,82.7
31,19/09/2023 , 10:35:00,1222,87
32,19/09/2023 , 10:40:00,1173,83.5
33,19/09/2023 , 10:45:00,1056,75.2
34,19/09/2023 , 10:50:00,1073,76.4
35,19/09/2023 , 10:55:00,1072,76.3
36,19/09/2023 , 11:00:00,1084,77.2
37,19/09/2023 , 11:05:00,1168,83.2
38,19/09/2023 , 11:10:00,1484,105.7
39,19/09/2023 , 11:15:00,2987,212.7
40,19/09/2023 , 11:20:00,3382,240.8
41,19/09/2023 , 11:25:00,3514,250.2
42,19/09/2023 , 11:30:00,3522,250.8
43,19/09/2023 , 11:35:00,3555,253.1
44,19/09/2023 , 11:40:00,3884,276.5
45,19/09/2023 , 11:45:00,3897,277.5
46,19/09/2023 , 11:50:00,3780,269.1
47,19/09/2023 , 11:55:00,3706,263.9
48,19/09/2023 , 12:00:00,3984,283.6
49,19/09/2023 , 12:05:00,3947,281
50,19/09/2023 , 12:10:00,4051,288.4
51,19/09/2023 , 12:15:00,4175,297.2
52,19/09/2023 , 12:20:00,4140,294.8
53,19/09/2023 , 12:25:00,4034,287.2
54,19/09/2023 , 12:30:00,3946,280.9
55,19/09/2023 , 12:35:00,3969,282.6
56,19/09/2023 , 12:40:00,4003,285
57,19/09/2023 , 12:45:00,3388,241.2
58,19/09/2023 , 12:50:00,2979,212.1
59,19/09/2023 , 12:55:00,2518,179.3
60,19/09/2023 , 13:00:00,4215,300.1
61,19/09/2023 , 13:05:00,4275,304.4
62,19/09/2023 , 13:10:00,4455,317.2
63,19/09/2023 , 13:15:00,4559,324.6
64,19/09/2023 , 13:20:00,4507,320.9
65,19/09/2023 , 13:25:00,4406,313.7
66,19/09/2023 , 13:30:00,4398,313.1
67,19/09/2023 , 13:35:00,4376,311.6
68,19/09/2023 , 13:40:00,4397,313
69,19/09/2023 , 13:45:00,4356,310.1
70,19/09/2023 , 13:50:00,4322,307.7
71,19/09/2023 , 13:55:00,4102,292
72,19/09/2023 , 14:00:00,4130,294
73,19/09/2023 , 14:05:00,4106,292.3
74,19/09/2023 , 14:10:00,2700,192.2
75,19/09/2023 , 14:15:00,0,0
76,19/09/2023 , 14:20:00,0,0
77,19/09/2023 , 14:25:00,0,0
78,19/09/2023 , 14:30:00,0,0
79,19/09/2023 , 14:35:00,0,0
80,19/09/2023 , 14:40:00,0,0
81,19/09/2023 , 14:45:00,0,0
82,19/09/2023 , 14:50:00,0,0
83,19/09/2023 , 14:55:00,0,0
84,19/09/2023 , 15:00:00,0,0
85,19/09/2023 , 15:05:00,0,0
86,19/09/2023 , 15:10:00,0,0
87,19/09/2023 , 15:15:00,0,0
88,19/09/2023 , 15:20:00,0,0
89,19/09/2023 , 15:25:00,0,0
90,19/09/2023 , 15:30:00,0,0
91,19/09/2023 , 15:35:00,0,0
92,19/09/2023 , 15:40:00,0,0
93,19/09/2023 , 15:45:00,0,0
94,19/09/2023 , 15:50:00,0,0
95,19/09/2023 , 15:55:00,0,0
96,19/09/2023 , 16:00:00,0,0
97,19/09/2023 , 16:05:00,0,0
98,19/09/2023 , 16:10:00,0,0
99,19/09/2023 , 16:15:00,0,0
100,19/09/2023 , 16:20:00,0,0
101,19/09/2023 , 16:25:00,0,0
102,19/09/2023 , 16:30:00,0,0
103,19/09/2023 , 16:35:00,0,0
