Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1695105720,+3.50,+25.612, +7.707,+0.967
1695105780,+3.50,+25.637, +7.694,+0.967
1695105840,+3.50,+25.688, +7.683,+0.967
1695105900,+3.50,+25.730, +7.673,+0.966
1695105960,+3.50,+25.755, +7.675,+0.967
1695106020,+3.50,+25.781, +7.669,+0.967
1695106080,+3.50,+25.781, +7.662,+0.966
1695106140,+3.50,+25.772, +7.672,+0.967
1695106200,+3.50,+25.789, +7.661,+0.966
1695106260,+3.50,+25.772, +7.664,+0.967
1695106320,+3.50,+25.755, +7.670,+0.967
1695106380,+3.50,+25.730, +7.671,+0.966
1695106440,+3.50,+25.755, +7.669,+0.967
1695106500,+3.50,+25.730, +7.672,+0.967
1695106560,+3.50,+25.721, +7.684,+0.967
1695106620,+3.50,+25.696, +7.682,+0.967
1695106680,+3.50,+25.713, +7.681,+0.967
1695106740,+3.50,+25.696, +7.683,+0.967
1695106800,+3.50,+25.696, +7.677,+0.967
1695106860,+3.50,+25.688, +7.678,+0.967
1695106920,+3.50,+25.671, +7.679,+0.966
1695106980,+3.50,+25.671, +7.682,+0.967
1695107040,+3.50,+25.654, +7.692,+0.967
1695107100,+3.50,+25.637, +7.687,+0.967
1695107160,+3.50,+25.654, +7.684,+0.967
1695107220,+3.50,+25.646, +7.687,+0.967
1695107280,+3.50,+25.662, +7.683,+0.967
1695107340,+3.50,+25.646, +7.691,+0.967
1695107400,+3.50,+25.654, +7.682,+0.967
1695107460,+3.50,+25.671, +7.675,+0.966
1695107520,+3.50,+25.654, +7.682,+0.967
1695107580,+3.50,+25.696, +7.677,+0.967
1695107640,+3.50,+25.688, +7.679,+0.967
1695107700,+3.50,+25.705, +7.676,+0.967
1695107760,+3.50,+25.696, +7.684,+0.967
1695107820,+3.50,+25.721, +7.678,+0.967
1695107880,+3.50,+25.730, +7.678,+0.967
1695107940,+3.50,+25.713, +7.672,+0.966
1695108000,+3.50,+25.721, +7.679,+0.967
1695108060,+3.50,+25.747, +7.675,+0.967
1695108120,+3.50,+25.755, +7.666,+0.967
1695108180,+3.50,+25.738, +7.673,+0.967
1695108240,+3.50,+25.772, +7.657,+0.966
