Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1685417340,+3.49,+21.167, +8.559,+0.963
1685417400,+3.49,+21.092, +8.584,+0.963
1685417460,+3.49,+20.958, +8.596,+0.963
1685417520,+3.49,+20.841, +8.623,+0.964
1685417580,+3.49,+20.732, +8.644,+0.964
1685417640,+3.49,+20.599, +8.659,+0.964
1685417700,+3.49,+20.448, +8.687,+0.964
1685417760,+3.49,+20.297, +8.716,+0.964
1685417820,+3.49,+20.163, +8.731,+0.964
1685417880,+3.49,+20.054, +8.750,+0.964
1685417940,+3.49,+19.929, +8.774,+0.964
1685418000,+3.49,+19.811, +8.785,+0.964
1685418060,+3.49,+19.694, +8.809,+0.964
1685418120,+3.49,+19.619, +8.818,+0.964
1685418180,+3.49,+19.526, +8.830,+0.965
1685418240,+3.49,+19.426, +8.847,+0.964
1685418300,+3.49,+19.350, +8.866,+0.965
1685418360,+3.49,+19.275, +8.886,+0.965
1685418420,+3.49,+19.191, +8.886,+0.964
1685418480,+3.49,+19.132, +8.904,+0.965
1685418540,+3.49,+19.073, +8.903,+0.965
1685418600,+3.49,+19.023, +8.911,+0.964
1685418660,+3.49,+18.947, +8.930,+0.964
1685418720,+3.49,+18.897, +8.946,+0.965
1685418780,+3.49,+18.855, +8.944,+0.965
1685418840,+3.49,+18.763, +8.966,+0.965
1685418900,+3.49,+18.712, +8.965,+0.965
1685418960,+3.49,+18.670, +8.973,+0.965
1685419020,+3.49,+18.620, +8.979,+0.965
1685419080,+3.49,+18.594, +8.984,+0.965
1685419140,+3.49,+18.552, +8.988,+0.965
1685419200,+3.49,+18.510, +9.002,+0.965
1685419260,+3.49,+18.443, +9.013,+0.965
1685419320,+3.49,+18.409, +9.025,+0.966
1685419380,+3.49,+18.342, +9.026,+0.965
1685419440,+3.49,+18.300, +9.043,+0.966
1685419500,+3.49,+18.291, +9.042,+0.965
1685419560,+3.49,+18.275, +8.992,+0.965
1685419620,+3.49,+18.283, +8.964,+0.965
1685419680,+3.49,+18.325, +8.944,+0.966
1685419740,+3.49,+19.124, +8.996,+0.967
1685419800,+3.49,+19.669, +8.828,+0.966
1685419860,+3.49,+20.029, +8.731,+0.965
1685419920,+3.49,+20.255, +8.709,+0.965
1685419980,+3.49,+20.448, +8.364,+0.964
1685420040,+3.49,+20.540, +7.967,+0.963
1685420100,+3.49,+20.607, +7.519,+0.963
1685420160,+3.49,+20.657, +7.043,+0.962
1685420220,+3.49,+20.691, +6.506,+0.960
1685420280,+3.49,+20.707, +5.964,+0.960
1685420340,+3.49,+20.732, +5.409,+0.958
1685420400,+3.49,+20.749, +4.870,+0.957
1685420460,+3.49,+20.749, +4.339,+0.957
1685420520,+3.49,+20.774, +3.818,+0.956
1685420580,+3.49,+20.774, +3.313,+0.955
1685420640,+3.49,+20.766, +2.832,+0.954
1685420700,+3.49,+20.774, +2.333,+0.954
1685420760,+3.49,+20.799, +1.894,+0.957
1685420820,+3.49,+20.808, +1.580,+0.956
1685420880,+3.49,+20.850, +1.346,+0.953
1685420940,+3.49,+20.866, +1.137,+0.949
1685421000,+3.49,+20.900, +1.081,+0.946
1685421060,+3.49,+20.933, +0.976,+0.944
1685421120,+3.49,+20.950, +0.855,+0.941
1685421180,+3.49,+20.975, +0.755,+0.939
1685421240,+3.49,+21.000, +0.670,+0.938
1685421300,+3.49,+21.017, +0.599,+0.938
1685421360,+3.48,+21.034, +0.538,+0.938
1685421420,+3.49,+21.025, +0.484,+0.939
1685421480,+3.49,+21.059, +0.436,+0.939
1685421540,+3.49,+21.075, +0.394,+0.940
1685421600,+3.49,+21.084, +0.357,+0.941
1685421660,+3.49,+21.109, +0.324,+0.942
1685421720,+3.49,+21.134, +0.295,+0.942
1685421780,+3.49,+21.109, +0.270,+0.943
1685421840,+3.49,+21.134, +0.248,+0.943
1685421900,+3.49,+21.159, +0.229,+0.944
1685421960,+3.49,+21.176, +0.212,+0.944
1685422020,+3.49,+21.167, +0.198,+0.944
1685422080,+3.49,+21.159, +0.185,+0.944
1685422140,+3.49,+21.201, +0.173,+0.945
1685422200,+3.49,+21.209, +0.164,+0.945
1685422260,+3.49,+21.218, +0.156,+0.945
1685422320,+3.49,+21.201, +0.149,+0.945
1685422380,+3.49,+21.243, +0.142,+0.945
1685422440,+3.49,+21.218, +0.137,+0.945
1685422500,+3.49,+21.234, +0.133,+0.945
1685422560,+3.49,+21.234, +0.129,+0.945
1685422620,+3.49,+21.251, +0.126,+0.945
1685422680,+3.49,+21.251, +0.123,+0.945
1685422740,+3.49,+21.268, +0.121,+0.945
1685422800,+3.49,+21.259, +0.118,+0.945
1685422860,+3.49,+21.268, +0.116,+0.945
1685422920,+3.49,+21.284, +0.114,+0.945
1685422980,+3.49,+21.276, +0.112,+0.945
1685423040,+3.49,+21.268, +0.111,+0.945
1685423100,+3.49,+21.293, +0.110,+0.945
1685423160,+3.49,+21.293, +0.108,+0.945
1685423220,+3.49,+21.284, +0.107,+0.945
1685423280,+3.49,+21.293, +0.105,+0.945
1685423340,+3.49,+21.284, +0.104,+0.945
1685423400,+3.49,+21.284, +0.103,+0.945
1685423460,+3.49,+21.301, +0.101,+0.945
1685423520,+3.49,+21.284, +0.101,+0.945
1685423580,+3.49,+21.318, +0.099,+0.945
1685423640,+3.49,+21.301, +0.098,+0.945
1685423700,+3.49,+21.301, +0.097,+0.945
1685423760,+3.49,+21.310, +0.097,+0.945
1685423820,+3.49,+21.310, +0.096,+0.945
1685423880,+3.49,+21.318, +0.095,+0.945
1685423940,+3.49,+21.310, +0.094,+0.945
1685424000,+3.49,+21.335, +0.094,+0.945
1685424060,+3.49,+21.318, +0.094,+0.945
1685424120,+3.49,+21.326, +0.093,+0.945
1685424180,+3.49,+21.351, +0.093,+0.945
1685424240,+3.49,+21.318, +0.092,+0.945
1685424300,+3.49,+21.335, +0.091,+0.945
1685424360,+3.49,+21.335, +0.110,+0.945
1685424420,+3.49,+21.293, +5.654,+0.962
1685424480,+3.49,+21.276, +7.672,+0.963
1685424540,+3.49,+21.268, +7.987,+0.964
1685424600,+3.49,+21.251, +8.071,+0.964
1685424660,+3.49,+21.234, +8.085,+0.964
1685424720,+3.49,+21.251, +8.086,+0.964
1685424780,+3.49,+21.243, +8.089,+0.964
1685424840,+3.49,+21.234, +8.091,+0.964
1685424900,+3.49,+21.226, +8.087,+0.964
1685424960,+3.49,+21.226, +8.088,+0.964
1685425020,+3.49,+21.226, +8.076,+0.964
1685425080,+3.49,+21.243, +8.090,+0.964
1685425140,+3.49,+21.251, +8.090,+0.964
1685425200,+3.49,+21.243, +8.102,+0.963
1685425260,+3.49,+21.234, +8.126,+0.964
1685425320,+3.49,+21.243, +8.117,+0.964
1685425380,+3.49,+21.234, +8.132,+0.964
1685425440,+3.49,+21.251, +8.132,+0.964
1685425500,+3.49,+21.226, +8.135,+0.964
1685425560,+3.49,+21.243, +8.122,+0.964
1685425620,+3.49,+21.226, +8.122,+0.964
1685425680,+3.49,+21.234, +8.099,+0.963
1685425740,+3.49,+21.226, +8.086,+0.963
1685425800,+3.49,+21.243, +8.095,+0.963
1685425860,+3.49,+21.218, +8.107,+0.963
1685425920,+3.49,+21.226, +8.096,+0.964
1685425980,+3.49,+21.226, +8.078,+0.964
1685426040,+3.49,+21.243, +8.058,+0.964
1685426100,+3.49,+21.218, +8.054,+0.964
1685426160,+3.49,+21.234, +8.046,+0.964
1685426220,+3.49,+21.226, +8.065,+0.964
1685426280,+3.49,+21.218, +8.063,+0.964
1685426340,+3.49,+21.218, +8.225,+0.964
1685426400,+3.49,+21.176, +8.332,+0.963
1685426460,+3.49,+21.192, +8.336,+0.963
1685426520,+3.49,+21.159, +8.340,+0.964
1685426580,+3.49,+21.134, +8.350,+0.964
1685426640,+3.49,+21.134, +8.374,+0.964
1685426700,+3.49,+21.126, +8.396,+0.964
1685426760,+3.49,+21.117, +8.435,+0.964
1685426820,+3.49,+21.126, +8.587,+0.964
1685426880,+3.49,+21.134, +8.566,+0.964
1685426940,+3.49,+21.117, +8.544,+0.964
1685427000,+3.49,+21.126, +8.492,+0.964
1685427060,+3.49,+21.142, +8.436,+0.964
1685427120,+3.49,+21.142, +8.400,+0.964
1685427180,+3.49,+21.151, +8.387,+0.964
1685427240,+3.49,+21.159, +8.370,+0.964
1685427300,+3.49,+21.176, +8.357,+0.963
1685427360,+3.49,+21.184, +8.359,+0.963
1685427420,+3.49,+21.192, +8.365,+0.963
1685427480,+3.49,+21.192, +8.381,+0.964
1685427540,+3.49,+21.218, +8.375,+0.963
1685427600,+3.49,+21.234, +8.404,+0.964
1685427660,+3.49,+21.234, +8.411,+0.964
1685427720,+3.49,+21.251, +8.415,+0.964
1685427780,+3.49,+21.251, +8.412,+0.963
1685427840,+3.49,+21.243, +8.439,+0.964
1685427900,+3.49,+21.251, +8.454,+0.964
1685427960,+3.49,+21.251, +8.452,+0.963
1685428020,+3.49,+21.259, +8.477,+0.964
1685428080,+3.49,+21.276, +8.481,+0.963
1685428140,+3.49,+21.284, +8.501,+0.964
1685428200,+3.49,+21.276, +8.517,+0.964
1685428260,+3.49,+21.276, +8.529,+0.964
1685428320,+3.49,+21.301, +8.545,+0.964
