Site Name ,CHIANE-AMBIENT
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,13339


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,21/06/2023 , 08:05:00,27,2
2,21/06/2023 , 08:10:00,403,29.6
3,21/06/2023 , 08:15:00,7,0.5
4,21/06/2023 , 08:20:00,5,0.4
5,21/06/2023 , 08:25:00,952,69.9
6,21/06/2023 , 08:30:00,978,71.8
7,21/06/2023 , 08:35:00,1184,86.9
8,21/06/2023 , 08:40:00,819,60.1
9,21/06/2023 , 08:45:00,850,62.4
10,21/06/2023 , 08:50:00,882,64.8
11,21/06/2023 , 08:55:00,880,64.6
12,21/06/2023 , 09:00:00,863,63.4
13,21/06/2023 , 09:05:00,921,67.6
14,21/06/2023 , 09:10:00,974,71.5
15,21/06/2023 , 09:15:00,1020,74.9
16,21/06/2023 , 09:20:00,1066,78.3
17,21/06/2023 , 09:25:00,1116,81.9
18,21/06/2023 , 09:30:00,1178,86.5
19,21/06/2023 , 09:35:00,1253,92
20,21/06/2023 , 09:40:00,1344,98.7
21,21/06/2023 , 09:45:00,1627,119.5
22,21/06/2023 , 09:50:00,4448,326.6
23,21/06/2023 , 09:55:00,1270,93.2
24,21/06/2023 , 10:00:00,1585,116.4
25,21/06/2023 , 10:05:00,3129,229.7
26,21/06/2023 , 10:10:00,3906,286.8
27,21/06/2023 , 10:15:00,4077,299.3
28,21/06/2023 , 10:20:00,4214,309.4
29,21/06/2023 , 10:25:00,4401,323.1
30,21/06/2023 , 10:30:00,4552,334.2
31,21/06/2023 , 10:35:00,4710,345.8
32,21/06/2023 , 10:40:00,4802,352.6
33,21/06/2023 , 10:45:00,4929,361.9
34,21/06/2023 , 10:50:00,5050,370.8
35,21/06/2023 , 10:55:00,5133,376.9
36,21/06/2023 , 11:00:00,5263,386.4
37,21/06/2023 , 11:05:00,5397,396.3
38,21/06/2023 , 11:10:00,5437,399.2
39,21/06/2023 , 11:15:00,5500,403.8
40,21/06/2023 , 11:20:00,5559,408.2
41,21/06/2023 , 11:25:00,5589,410.4
42,21/06/2023 , 11:30:00,5666,416
43,21/06/2023 , 11:35:00,5779,424.3
44,21/06/2023 , 11:40:00,5839,428.7
45,21/06/2023 , 11:45:00,5941,436.2
46,21/06/2023 , 11:50:00,6015,441.6
47,21/06/2023 , 11:55:00,6062,445.1
48,21/06/2023 , 12:00:00,6136,450.5
49,21/06/2023 , 12:05:00,6197,455
50,21/06/2023 , 12:10:00,6272,460.5
51,21/06/2023 , 12:15:00,6337,465.3
52,21/06/2023 , 12:20:00,6357,466.8
53,21/06/2023 , 12:25:00,6413,470.9
54,21/06/2023 , 12:30:00,6464,474.6
55,21/06/2023 , 12:35:00,6499,477.2
56,21/06/2023 , 12:40:00,6510,478
57,21/06/2023 , 12:45:00,6530,479.5
58,21/06/2023 , 12:50:00,5353,393
59,21/06/2023 , 12:55:00,5051,370.9
60,21/06/2023 , 13:00:00,5171,379.7
61,21/06/2023 , 13:05:00,111,8.1
62,21/06/2023 , 13:10:00,34,2.5
63,21/06/2023 , 13:15:00,28,2.1
64,21/06/2023 , 13:20:00,45,3.3
65,21/06/2023 , 13:25:00,0,0
66,21/06/2023 , 13:30:00,0,0
67,21/06/2023 , 13:35:00,0,0
68,21/06/2023 , 13:40:00,0,0
69,21/06/2023 , 13:45:00,0,0
70,21/06/2023 , 13:50:00,0,0
71,21/06/2023 , 13:55:00,0,0
72,21/06/2023 , 14:00:00,0,0
73,21/06/2023 , 14:05:00,0,0
74,21/06/2023 , 14:10:00,0,0
75,21/06/2023 , 14:15:00,1,0.1
76,21/06/2023 , 14:20:00,0,0
77,21/06/2023 , 14:25:00,0,0
78,21/06/2023 , 14:30:00,0,0
79,21/06/2023 , 14:35:00,0,0
80,21/06/2023 , 14:40:00,0,0
81,21/06/2023 , 14:45:00,0,0
82,21/06/2023 , 14:50:00,0,0
83,21/06/2023 , 14:55:00,0,0
84,21/06/2023 , 15:00:00,0,0
85,21/06/2023 , 15:05:00,0,0
86,21/06/2023 , 15:10:00,0,0
87,21/06/2023 , 15:15:00,0,0
88,21/06/2023 , 15:20:00,0,0
89,21/06/2023 , 15:25:00,0,0
90,21/06/2023 , 15:30:00,1,0.1
91,21/06/2023 , 15:35:00,0,0
92,21/06/2023 , 15:40:00,1,0.1
93,21/06/2023 , 15:45:00,0,0
94,21/06/2023 , 15:50:00,0,0
95,21/06/2023 , 15:55:00,0,0
96,21/06/2023 , 16:00:00,0,0
97,21/06/2023 , 16:05:00,3,0.2
98,21/06/2023 , 16:10:00,0,0
99,21/06/2023 , 16:15:00,0,0
100,21/06/2023 , 16:20:00,0,0
101,21/06/2023 , 16:25:00,0,0
102,21/06/2023 , 16:30:00,0,0
103,21/06/2023 , 16:35:00,0,0
