Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1687156740,+3.46,+23.203, +8.300,+0.890
1687156800,+3.47,+23.370, +8.273,+0.890
1687156860,+3.46,+23.521, +8.253,+0.890
1687156920,+3.46,+23.622, +8.249,+0.890
1687156980,+3.46,+23.655, +8.248,+0.890
1687157040,+3.46,+23.723, +8.238,+0.890
1687157100,+3.46,+23.748, +8.238,+0.891
1687157160,+3.46,+23.781, +8.234,+0.891
1687157220,+3.46,+23.815, +8.224,+0.890
1687157280,+3.46,+23.832, +8.226,+0.891
1687157340,+3.46,+23.865, +8.226,+0.891
1687157400,+3.46,+23.857, +8.230,+0.891
1687157460,+3.46,+23.907, +8.211,+0.890
1687157520,+3.46,+23.907, +8.210,+0.890
1687157580,+3.46,+23.924, +8.211,+0.891
1687157640,+3.46,+23.949, +8.199,+0.890
1687157700,+3.46,+23.958, +8.195,+0.890
1687157760,+3.46,+23.974, +8.191,+0.890
1687157820,+3.46,+23.991, +8.192,+0.890
1687157880,+3.46,+23.999, +8.195,+0.891
1687157940,+3.46,+23.999, +8.191,+0.891
1687158000,+3.46,+24.025, +8.182,+0.890
1687158060,+3.46,+24.016, +8.196,+0.891
1687158120,+3.46,+24.025, +8.202,+0.891
1687158180,+3.46,+24.016, +8.191,+0.890
1687158240,+3.46,+24.025, +8.187,+0.890
1687158300,+3.46,+24.016, +8.211,+0.891
1687158360,+3.46,+24.008, +8.188,+0.891
1687158420,+3.46,+23.966, +8.182,+0.890
1687158480,+3.46,+23.941, +8.201,+0.891
1687158540,+3.46,+23.899, +8.204,+0.890
1687158600,+3.46,+23.882, +8.207,+0.890
1687158660,+3.46,+23.874, +8.209,+0.890
1687158720,+3.46,+23.815, +8.222,+0.891
1687158780,+3.46,+23.798, +8.224,+0.891
1687158840,+3.46,+23.756, +8.225,+0.890
1687158900,+3.46,+23.748, +8.226,+0.890
1687158960,+3.46,+23.723, +8.226,+0.890
1687159020,+3.46,+23.689, +8.238,+0.891
1687159080,+3.46,+23.672, +8.224,+0.890
1687159140,+3.46,+23.647, +8.245,+0.891
1687159200,+3.46,+23.622, +8.233,+0.890
1687159260,+3.46,+23.614, +8.231,+0.890
1687159320,+3.46,+23.614, +8.218,+0.890
1687159380,+3.46,+23.597, +8.221,+0.890
1687159440,+3.46,+23.597, +8.229,+0.890
1687159500,+3.46,+23.614, +8.221,+0.890
1687159560,+3.46,+23.647, +8.215,+0.890
1687159620,+3.46,+23.664, +8.221,+0.891
