Date / Time;11/05/2023 14:46;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-32;NaN;0;21.3;NaN;NaN
1.5;180.9;NaN;88;21.1;1.5;212.9
1.525;186.7;NaN;316;20.8;0.025;5.8
1.55;192.2;NaN;346;20.7;0.025;5.5
1.575;196.8;NaN;372;20.7;0.025;4.6
1.6;200.6;158.49;398;20.7;0.025;3.8
1.625;204.2;130;425;20.7;0.025;3.6
1.65;207.3;114.59;448;20.7;0.025;3.1
1.675;209.8;103.56;466;20.7;0.025;2.5
1.7;212.4;94.82;483;20.7;0.025;2.6
1.725;214.7;86.92;506;20.6;0.025;2.3
1.75;216.8;81.25;521;20.6;0.025;2.1
1.775;218.7;75.13;536;20.6;0.025;1.9
1.8;220.6;69.05;555;20.6;0.025;1.9
1.825;222.2;64.68;571;20.6;0.025;1.6
1.85;223.8;61.14;586;20.6;0.025;1.6
1.875;225.2;57.53;602;20.6;0.025;1.4
1.9;226.7;NaN;617;20.6;0.025;1.5
1.925;228;NaN;632;20.6;0.025;1.3
1.95;229.3;NaN;647;20.6;0.025;1.3
1.975;230.4;NaN;662;20.6;0.025;1.1
2;231.6;NaN;678;20.6;0.025;1.2
