Date / Time;11/05/2023 16:28;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-42.6;NaN;0;22;NaN;NaN
1.5;211;NaN;56;21.7;1.5;253.6
1.525;213.8;NaN;276;21;0.025;2.8
1.55;216;NaN;293;21;0.025;2.2
1.575;218.2;NaN;308;20.9;0.025;2.2
1.6;220.2;79.31;324;20.9;0.025;2
1.625;222.1;70.93;340;20.9;0.025;1.9
1.65;223.8;67.41;355;20.9;0.025;1.7
1.675;225.5;62.7;370;20.9;0.025;1.7
1.7;226.9;NaN;385;20.8;0.025;1.4
1.725;228.3;NaN;400;20.8;0.025;1.4
1.75;229.9;NaN;417;20.8;0.025;1.6
1.775;231;NaN;432;20.8;0.025;1.1
1.8;232.3;NaN;447;20.8;0.025;1.3
