Date / Time;11/05/2023 17:02;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-41.5;NaN;0;22.5;NaN;NaN
1.5;219.8;NaN;50;22.1;1.5;261.3
1.525;221.8;NaN;266;21.1;0.025;2
1.55;223.5;NaN;281;21.1;0.025;1.7
1.575;225.4;NaN;296;21;0.025;1.9
1.6;227;NaN;311;21;0.025;1.6
1.625;228.5;NaN;326;21;0.025;1.5
1.65;230;NaN;342;20.9;0.025;1.5
1.675;231.4;NaN;357;20.9;0.025;1.4
1.7;232.6;NaN;372;20.9;0.025;1.2
