Date / Time;11/05/2023 18:06;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK2a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-52.7;NaN;0;21.8;NaN;NaN
1.5;203.5;NaN;51;21.6;1.5;256.2
1.525;207.4;NaN;267;21;0.025;3.9
1.55;210.6;NaN;282;20.9;0.025;3.2
1.575;213.3;NaN;297;20.9;0.025;2.7
1.6;216;103.1;312;20.9;0.025;2.7
1.625;218.3;88.63;327;20.9;0.025;2.3
1.65;220.4;81.98;342;20.9;0.025;2.1
1.675;222.4;76.15;358;20.8;0.025;2
1.7;224.3;70.21;373;20.8;0.025;1.9
1.725;225.9;65.86;388;20.8;0.025;1.6
1.75;227.5;NaN;403;20.8;0.025;1.6
1.775;229.1;NaN;418;20.8;0.025;1.6
1.8;230.4;NaN;433;20.8;0.025;1.3
1.825;231.8;NaN;449;20.8;0.025;1.4
1.85;233.1;NaN;464;20.7;0.025;1.3
