Date / Time;12/05/2023 10:03;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM2;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-43.2;NaN;0;20.5;NaN;NaN
1.3;208;NaN;54;20.5;1.3;251.2
1.325;211.2;NaN;275;20.4;0.025;3.2
1.35;213.5;NaN;290;20.4;0.025;2.3
1.375;216.1;NaN;305;20.4;0.025;2.6
1.4;218.4;87.93;320;20.4;0.025;2.3
1.425;220.4;77.95;335;20.4;0.025;2
1.45;222.3;73.59;353;20.4;0.025;1.9
1.475;223.9;67.41;368;20.4;0.025;1.6
1.5;225.7;63.68;384;20.4;0.025;1.8
1.525;227.2;NaN;399;20.4;0.025;1.5
1.55;228.8;NaN;414;20.4;0.025;1.6
1.575;230;NaN;429;20.4;0.025;1.2
1.6;231.4;NaN;444;20.4;0.025;1.4
1.625;232.7;NaN;459;20.4;0.025;1.3
