Date / Time;12/05/2023 11:13;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE2c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-58.2;NaN;0;21.7;NaN;NaN
1.5;210.9;NaN;51;21.4;1.5;269.1
1.525;213.4;NaN;268;20.7;0.025;2.5
1.55;215.8;NaN;284;20.7;0.025;2.4
1.575;218.3;NaN;299;20.7;0.025;2.5
1.6;220.1;81.91;314;20.7;0.025;1.8
1.625;222.2;74.82;330;20.6;0.025;2.1
1.65;224;69.03;345;20.6;0.025;1.8
1.675;225.6;64.86;361;20.6;0.025;1.6
1.7;227.2;NaN;376;20.6;0.025;1.6
1.725;228.7;NaN;391;20.6;0.025;1.5
1.75;230.1;NaN;407;20.6;0.025;1.4
1.775;231.5;NaN;422;20.6;0.025;1.4
1.8;232.7;NaN;438;20.5;0.025;1.2
