Date / Time;12/05/2023 11:24;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE03a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-74.2;NaN;0;21.3;NaN;NaN
1.5;212.7;NaN;58;21.1;1.5;286.9
1.525;215.6;NaN;275;20.6;0.025;2.9
1.55;217.9;NaN;290;20.6;0.025;2.3
1.575;220.1;NaN;305;20.6;0.025;2.2
1.6;222;79.3;320;20.6;0.025;1.9
1.625;223.8;70.2;335;20.6;0.025;1.8
1.65;225.6;66.96;350;20.6;0.025;1.8
1.675;227.2;NaN;366;20.6;0.025;1.6
1.7;228.7;NaN;381;20.6;0.025;1.5
1.725;230.2;NaN;396;20.6;0.025;1.5
1.75;231.5;NaN;411;20.6;0.025;1.3
1.775;232.7;NaN;426;20.6;0.025;1.2
