Date / Time;12/05/2023 15:31;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK2a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-56.5;NaN;0;21.4;NaN;NaN
1.5;194.6;NaN;42;21.2;1.5;251.1
1.525;199.6;NaN;258;20.8;0.025;5
1.55;203.8;NaN;273;20.7;0.025;4.2
1.575;207.3;NaN;288;20.7;0.025;3.5
1.6;210.5;127.13;303;20.7;0.025;3.2
1.625;213.2;104.44;318;20.7;0.025;2.7
1.65;215.7;95.43;333;20.7;0.025;2.5
1.675;218;88.43;349;20.7;0.025;2.3
1.7;220.2;81.57;364;20.7;0.025;2.2
1.725;222.1;76.09;379;20.6;0.025;1.9
1.75;224;70.98;394;20.6;0.025;1.9
1.775;225.7;65.63;409;20.6;0.025;1.7
1.8;227.2;NaN;424;20.6;0.025;1.5
1.825;228.8;NaN;440;20.6;0.025;1.6
1.85;230.2;NaN;455;20.6;0.025;1.4
1.875;231.4;NaN;470;20.6;0.025;1.2
1.9;232.8;NaN;485;20.6;0.025;1.4
