Date / Time;13/05/2023 12:24;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM1;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-46;NaN;0;22;NaN;NaN
1.3;206;NaN;52;21.6;1.3;252
1.325;208.8;NaN;269;20.8;0.025;2.8
1.35;211.6;NaN;284;20.8;0.025;2.8
1.375;214.2;NaN;299;20.8;0.025;2.6
1.4;216.3;89.83;314;20.7;0.025;2.1
1.425;218.5;80.97;330;20.7;0.025;2.2
1.45;220.4;73.95;345;20.7;0.025;1.9
1.475;222.2;69.7;360;20.7;0.025;1.8
1.5;223.9;66.01;375;20.7;0.025;1.7
1.525;225.5;61.23;390;20.6;0.025;1.6
1.55;226.9;NaN;406;20.6;0.025;1.4
1.575;228.5;NaN;421;20.6;0.025;1.6
1.6;229.7;NaN;436;20.6;0.025;1.2
1.625;230.9;NaN;451;20.6;0.025;1.2
1.65;232.2;NaN;466;20.6;0.025;1.3
