Date / Time;12/05/2023 16:41;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE3a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-60.1;NaN;0;21.5;NaN;NaN
1.5;206.4;NaN;47;21.4;1.5;266.5
1.525;209.8;NaN;263;20.9;0.025;3.4
1.55;212.7;NaN;278;20.8;0.025;2.9
1.575;215.4;NaN;293;20.8;0.025;2.7
1.6;217.7;95.9;308;20.8;0.025;2.3
1.625;220;84.03;323;20.8;0.025;2.3
1.65;222;78.21;338;20.8;0.025;2
1.675;223.8;72.83;354;20.8;0.025;1.8
1.7;225.6;68.62;369;20.8;0.025;1.8
1.725;227.4;NaN;384;20.7;0.025;1.8
1.75;228.8;NaN;399;20.7;0.025;1.4
1.775;230.3;NaN;414;20.7;0.025;1.5
1.8;231.7;NaN;429;20.7;0.025;1.4
1.825;232.9;NaN;445;20.7;0.025;1.2
