Date / Time;13/05/2023 13:35;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-61.4;NaN;0;21.9;NaN;NaN
1.5;213.2;NaN;51;21.6;1.5;274.6
1.525;215.6;NaN;267;20.9;0.025;2.4
1.55;218;NaN;282;20.8;0.025;2.4
1.575;219.9;NaN;298;20.8;0.025;1.9
1.6;222;76.65;313;20.8;0.025;2.1
1.625;223.8;70.07;328;20.8;0.025;1.8
1.65;225.4;64.86;343;20.7;0.025;1.6
1.675;227.1;NaN;358;20.7;0.025;1.7
1.7;228.5;NaN;373;20.7;0.025;1.4
1.725;229.9;NaN;388;20.7;0.025;1.4
1.75;231.2;NaN;404;20.7;0.025;1.3
1.775;232.6;NaN;420;20.7;0.025;1.4
