Date / Time;24/05/2023 15:52;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;9.4;NaN;0;20.4;NaN;NaN
1.5;208.6;NaN;42;20.1;1.5;199.2
1.525;211;NaN;259;19.2;0.025;2.4
1.55;213.4;NaN;274;19.2;0.025;2.4
1.575;215.8;NaN;289;19.2;0.025;2.4
1.6;217.8;81.65;305;19.1;0.025;2
1.625;219.8;75.06;321;19.1;0.025;2
1.65;221.6;69.06;336;19.1;0.025;1.8
1.675;223.1;64.04;351;19;0.025;1.5
1.7;224.8;60.62;366;19;0.025;1.7
1.725;226.3;56.66;381;19;0.025;1.5
1.75;227.6;NaN;396;19;0.025;1.3
1.775;228.9;NaN;412;19;0.025;1.3
1.8;230.2;NaN;427;19;0.025;1.3
1.825;231.3;NaN;442;19;0.025;1.1
1.85;232.5;NaN;457;18.9;0.025;1.2
