Date / Time;24/05/2023 10:05;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM3;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-18.1;NaN;0;20.2;NaN;NaN
1.3;209.4;NaN;68;19.7;1.3;227.5
1.325;212.3;NaN;284;18.9;0.025;2.9
1.35;214.6;NaN;300;18.9;0.025;2.3
1.375;216.9;NaN;315;18.9;0.025;2.3
1.4;218.8;80.84;330;18.8;0.025;1.9
1.425;220.7;72.05;346;18.8;0.025;1.9
1.45;222.5;68.32;361;18.8;0.025;1.8
1.475;224.1;63.87;376;18.8;0.025;1.6
1.5;225.7;60.4;391;18.8;0.025;1.6
1.525;227.2;NaN;406;18.7;0.025;1.5
1.55;228.5;NaN;422;18.7;0.025;1.3
1.575;229.8;NaN;437;18.7;0.025;1.3
1.6;231.1;NaN;452;18.7;0.025;1.3
1.625;232.3;NaN;467;18.7;0.025;1.2
