Date / Time;24/05/2023 15:32;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;5.2;NaN;0;19.7;NaN;NaN
1.5;204.2;NaN;41;19.6;1.5;199
1.525;207.5;NaN;259;19;0.025;3.3
1.55;210.2;NaN;274;19;0.025;2.7
1.575;212.7;NaN;289;19;0.025;2.5
1.6;214.9;91.64;304;19;0.025;2.2
1.625;217.1;81;320;18.9;0.025;2.2
1.65;219.1;76.32;335;18.9;0.025;2
1.675;220.9;70.68;350;18.9;0.025;1.8
1.7;222.6;65.75;365;18.9;0.025;1.7
1.725;224.2;60.67;380;18.9;0.025;1.6
1.75;225.7;57.29;395;18.9;0.025;1.5
1.775;227;NaN;411;18.9;0.025;1.3
1.8;228.4;NaN;426;18.9;0.025;1.4
1.825;229.6;NaN;441;18.8;0.025;1.2
1.85;230.9;NaN;456;18.8;0.025;1.3
1.875;232;NaN;471;18.8;0.025;1.1
