Date / Time;25/05/2023 16:05;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1C;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-31.6;NaN;0;18.8;NaN;NaN
1.5;212.2;NaN;63;18.9;1.5;243.8
1.525;214.8;NaN;279;18.8;0.025;2.6
1.55;217;NaN;294;18.8;0.025;2.2
1.575;219.1;NaN;309;18.8;0.025;2.1
1.6;221;75.39;324;18.8;0.025;1.9
1.625;222.6;67.23;339;18.8;0.025;1.6
1.65;224.4;63.77;354;18.8;0.025;1.8
1.675;225.9;60.26;370;18.8;0.025;1.5
1.7;227.3;NaN;385;18.8;0.025;1.4
1.725;228.8;NaN;400;18.8;0.025;1.5
1.75;230.1;NaN;415;18.8;0.025;1.3
1.775;231.3;NaN;430;18.8;0.025;1.2
1.8;232.5;NaN;446;18.8;0.025;1.2
