Date / Time;24/05/2023 19:14;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-54.3;NaN;0;17.9;NaN;NaN
1.5;210.4;NaN;49;18.2;1.5;264.7
1.525;213.5;NaN;265;18.6;0.025;3.1
1.55;215.8;NaN;280;18.6;0.025;2.3
1.575;217.8;NaN;298;18.6;0.025;2
1.6;219.7;77.85;313;18.6;0.025;1.9
1.625;221.5;67.27;328;18.6;0.025;1.8
1.65;223.2;64.66;343;18.6;0.025;1.7
1.675;224.7;61.6;358;18.6;0.025;1.5
1.7;226.3;57.94;374;18.6;0.025;1.6
1.725;227.6;NaN;389;18.6;0.025;1.3
1.75;229;NaN;404;18.7;0.025;1.4
1.775;230.3;NaN;419;18.7;0.025;1.3
1.8;231.4;NaN;434;18.7;0.025;1.1
1.825;232.6;NaN;449;18.7;0.025;1.2
