Date / Time;25/05/2023 14:21;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM1A;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-43.4;NaN;0;19.4;NaN;NaN
1.3;208.9;NaN;65;19.3;1.3;252.3
1.325;212.1;NaN;281;19;0.025;3.2
1.35;214.5;NaN;301;18.9;0.025;2.4
1.375;216.7;NaN;316;18.9;0.025;2.2
1.4;218.8;83.52;331;18.9;0.025;2.1
1.425;220.7;73.49;346;18.9;0.025;1.9
1.45;222.6;69.75;361;18.9;0.025;1.9
1.475;224.3;64.91;376;18.9;0.025;1.7
1.5;225.8;60.68;392;18.9;0.025;1.5
1.525;227.2;NaN;407;18.9;0.025;1.4
1.55;228.7;NaN;422;18.9;0.025;1.5
1.575;230;NaN;437;18.9;0.025;1.3
1.6;231.3;NaN;452;18.9;0.025;1.3
1.625;232.5;NaN;468;18.8;0.025;1.2
