Date / Time;24/05/2023 17:43;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-55.7;NaN;0;19.3;NaN;NaN
1.5;213.2;NaN;55;19.2;1.5;268.9
1.525;215.7;NaN;272;19;0.025;2.5
1.55;217.6;NaN;287;19;0.025;1.9
1.575;219.6;NaN;302;18.9;0.025;2
1.6;221.4;70.73;317;18.9;0.025;1.8
1.625;223;63.83;333;18.9;0.025;1.6
1.65;224.6;60.96;348;18.9;0.025;1.6
1.675;226;57.53;363;18.9;0.025;1.4
1.7;227.5;NaN;378;18.9;0.025;1.5
1.725;228.8;NaN;393;18.9;0.025;1.3
1.75;230.1;NaN;411;18.9;0.025;1.3
1.775;231.3;NaN;426;18.9;0.025;1.2
1.8;232.4;NaN;442;18.9;0.025;1.1
