Date / Time;26/05/2023 10:44;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE3c;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-40.7;NaN;0;20.0;NaN;NaN
1.500;216.2;NaN;73;19.7;1.500;256.9
1.525;218.4;NaN;290;19.1;0.025;2.2
1.550;220.3;NaN;306;19.1;0.025;1.9
1.575;222.1;NaN;321;19.0;0.025;1.8
1.600;223.8;66.24;336;19.0;0.025;1.7
1.625;225.3;60.27;352;19.0;0.025;1.5
1.650;226.8;NaN;367;19.0;0.025;1.5
1.675;228.2;NaN;382;19.0;0.025;1.4
1.700;229.5;NaN;397;18.9;0.025;1.3
1.725;230.8;NaN;412;18.9;0.025;1.3
1.750;232.0;NaN;427;18.9;0.025;1.2
