Date / Time;01/06/2023 13:27;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM1;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-46.8;NaN;0;23.4;NaN;NaN
1.3;205.8;NaN;65;21.9;1.3;252.6
1.325;208.5;NaN;281;19.7;0.025;2.7
1.35;211.3;NaN;298;19.6;0.025;2.8
1.375;213.9;NaN;316;19.5;0.025;2.6
1.4;216.2;90.35;332;19.4;0.025;2.3
1.425;218.3;82;348;19.4;0.025;2.1
1.45;220.3;74.44;363;19.3;0.025;2
1.475;222;68.6;378;19.3;0.025;1.7
1.5;223.7;64.33;394;19.2;0.025;1.7
1.525;225.3;60.5;409;19.2;0.025;1.6
1.55;226.7;57.07;424;19.2;0.025;1.4
1.575;228.1;NaN;439;19.1;0.025;1.4
1.6;229.5;NaN;454;19.1;0.025;1.4
1.625;230.7;NaN;470;19.1;0.025;1.2
1.65;231.9;NaN;485;19.1;0.025;1.2
1.675;233.1;NaN;500;19;0.025;1.2
