Date / Time;30/05/2023 13:51;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;T1B;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;32.8;NaN;0;21.2;NaN;NaN
1.5;211.9;NaN;65;20.4;1.5;179.1
1.525;214;NaN;284;19.2;0.025;2.1
1.55;216;NaN;300;19.1;0.025;2
1.575;218;NaN;317;19.1;0.025;2
1.6;219.8;71.15;332;19.1;0.025;1.8
1.625;221.4;66.81;347;19;0.025;1.6
1.65;223.1;62.97;363;19;0.025;1.7
1.675;224.6;59.51;380;19;0.025;1.5
1.7;226.1;56.81;396;19;0.025;1.5
1.725;227.5;NaN;412;18.9;0.025;1.4
1.75;228.7;NaN;427;18.9;0.025;1.2
1.775;230;NaN;444;18.9;0.025;1.3
1.8;231.2;NaN;459;18.9;0.025;1.2
1.825;232.3;NaN;474;18.9;0.025;1.1
