Date / Time;30/05/2023 14:30;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;T1D;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;25.6;NaN;0;22;NaN;NaN
1.5;197.5;NaN;96;22.2;1.5;171.9
1.525;201;NaN;315;19.6;0.025;3.5
1.55;204.4;NaN;341;19.6;0.025;3.4
1.575;207.3;NaN;366;19.5;0.025;2.9
1.6;210;105.67;386;19.5;0.025;2.7
1.625;212.4;92.35;406;19.5;0.025;2.4
1.65;214.5;84.61;421;19.5;0.025;2.1
1.675;216.7;78.67;444;19.4;0.025;2.2
1.7;218.5;73.22;461;19.4;0.025;1.8
1.725;220.3;68.75;478;19.3;0.025;1.8
1.75;222;64.32;494;19.3;0.025;1.7
1.775;223.5;60.27;511;19.3;0.025;1.5
1.8;225;57.6;526;19.2;0.025;1.5
1.825;226.4;54.33;542;19.2;0.025;1.4
1.85;227.7;NaN;557;19.2;0.025;1.3
1.875;229;NaN;572;19.2;0.025;1.3
1.9;230.2;NaN;588;19.1;0.025;1.2
1.925;231.3;NaN;603;19.1;0.025;1.1
1.95;232.4;NaN;618;19.1;0.025;1.1
