Scan No ,Date,Time,RAW VALUE ,CALIBRATED VALUE
1,7/5/23, 16:10:00,13047,863.9
2,7/5/23, 16:20:00,12715,841.9
3,7/5/23, 16:30:00,11405,755.2
4,7/5/23, 16:40:00,10535,697.6
5,7/5/23, 16:50:00,9681,641
6,7/5/23, 17:00:00,9267,613.6
7,7/5/23, 17:10:00,8706,576.5
8,7/5/23, 17:20:00,8003,529.9
9,7/5/23, 17:30:00,7088,469.3
10,7/5/23, 17:40:00,6245,413.5
11,7/5/23, 17:50:00,3679,243.6
12,7/5/23, 18:00:00,4985,330.1
13,7/5/23, 18:10:00,3654,241.9
14,7/5/23, 18:20:00,2564,169.8
15,7/5/23, 18:30:00,1910,126.5
16,7/5/23, 18:40:00,1573,104.2
17,7/5/23, 18:50:00,1092,72.3
18,7/5/23, 19:00:00,899,59.5
19,7/5/23, 19:10:00,1011,66.9
20,7/5/23, 19:20:00,837,55.4
21,7/5/23, 19:30:00,505,33.4
22,7/5/23, 19:40:00,321,21.3
23,7/5/23, 19:50:00,165,10.9
24,7/5/23, 20:00:00,79,5.2
25,7/5/23, 20:10:00,30,2
26,7/5/23, 20:20:00,6,0.4
27,7/5/23, 20:30:00,0,0
28,7/5/23, 20:40:00,0,0
29,7/5/23, 20:50:00,0,0
30,7/5/23, 21:00:00,0,0
31,7/5/23, 21:10:00,0,0
32,7/5/23, 21:20:00,0,0
33,7/5/23, 21:30:00,0,0
34,7/5/23, 21:40:00,0,0
35,7/5/23, 21:50:00,0,0
36,7/5/23, 22:00:00,0,0
37,7/5/23, 22:10:00,0,0
38,7/5/23, 22:20:00,0,0
39,7/5/23, 22:30:00,0,0
40,7/5/23, 22:40:00,0,0
41,7/5/23, 22:50:00,0,0
42,7/5/23, 23:00:00,0,0
43,7/5/23, 23:10:00,0,0
44,7/5/23, 23:20:00,0,0
45,7/5/23, 23:30:00,0,0
46,7/5/23, 23:40:00,0,0
47,7/5/23, 23:50:00,0,0
48,7/5/23, 24:00:00,0,0
49,8/5/23, 00:10:00,0,0
50,8/5/23, 00:20:00,0,0
51,8/5/23, 00:30:00,0,0
52,8/5/23, 00:40:00,0,0
53,8/5/23, 00:50:00,0,0
54,8/5/23, 01:00:00,0,0
55,8/5/23, 01:10:00,0,0
56,8/5/23, 01:20:00,0,0
57,8/5/23, 01:30:00,0,0
58,8/5/23, 01:40:00,0,0
59,8/5/23, 01:50:00,0,0
60,8/5/23, 02:00:00,0,0
61,8/5/23, 02:10:00,0,0
62,8/5/23, 02:20:00,0,0
63,8/5/23, 02:30:00,0,0
64,8/5/23, 02:40:00,0,0
65,8/5/23, 02:50:00,0,0
66,8/5/23, 03:00:00,0,0
67,8/5/23, 03:10:00,0,0
68,8/5/23, 03:20:00,0,0
69,8/5/23, 03:30:00,0,0
70,8/5/23, 03:40:00,0,0
71,8/5/23, 03:50:00,0,0
72,8/5/23, 04:00:00,0,0
73,8/5/23, 04:10:00,0,0
74,8/5/23, 04:20:00,0,0
75,8/5/23, 04:30:00,0,0
76,8/5/23, 04:40:00,0,0
77,8/5/23, 04:50:00,0,0
78,8/5/23, 05:00:00,0,0
79,8/5/23, 05:10:00,0,0
80,8/5/23, 05:20:00,0,0
81,8/5/23, 05:30:00,0,0
82,8/5/23, 05:40:00,0,0
83,8/5/23, 05:50:00,0,0
84,8/5/23, 06:00:00,0,0
85,8/5/23, 06:10:00,1,0.1
86,8/5/23, 06:20:00,6,0.4
87,8/5/23, 06:30:00,20,1.3
88,8/5/23, 06:40:00,32,2.1
89,8/5/23, 06:50:00,41,2.7
90,8/5/23, 07:00:00,56,3.7
91,8/5/23, 07:10:00,74,4.9
92,8/5/23, 07:20:00,95,6.3
93,8/5/23, 07:30:00,116,7.7
94,8/5/23, 07:40:00,149,9.9
95,8/5/23, 07:50:00,161,10.7
96,8/5/23, 08:00:00,193,12.8
97,8/5/23, 08:10:00,206,13.6
98,8/5/23, 08:20:00,198,13.1
99,8/5/23, 08:30:00,193,12.8
100,8/5/23, 08:40:00,210,13.9
101,8/5/23, 08:50:00,241,16
102,8/5/23, 09:00:00,236,15.6
103,8/5/23, 09:10:00,248,16.4
104,8/5/23, 09:20:00,302,20
105,8/5/23, 09:30:00,317,21
106,8/5/23, 09:40:00,307,20.3
107,8/5/23, 09:50:00,337,22.3
108,8/5/23, 10:00:00,403,26.7
109,8/5/23, 10:10:00,401,26.6
110,8/5/23, 10:20:00,413,27.3
111,8/5/23, 10:30:00,423,28
112,8/5/23, 10:40:00,384,25.4
113,8/5/23, 10:50:00,283,18.7
114,8/5/23, 11:00:00,438,29
115,8/5/23, 11:10:00,441,29.2
116,8/5/23, 11:20:00,566,37.5
117,8/5/23, 11:30:00,689,45.6
118,8/5/23, 11:40:00,625,41.4
119,8/5/23, 11:50:00,516,34.2
120,8/5/23, 12:00:00,436,28.9
121,8/5/23, 12:10:00,511,33.8
122,8/5/23, 12:20:00,469,31.1
123,8/5/23, 12:30:00,549,36.4
124,8/5/23, 12:40:00,669,44.3
125,8/5/23, 12:50:00,827,54.8
126,8/5/23, 13:00:00,835,55.3
127,8/5/23, 13:10:00,755,50
128,8/5/23, 13:20:00,693,45.9
129,8/5/23, 13:30:00,533,35.3
130,8/5/23, 13:40:00,363,24
131,8/5/23, 13:50:00,368,24.4
132,8/5/23, 14:00:00,472,31.3
133,8/5/23, 14:10:00,511,33.8
134,8/5/23, 14:20:00,517,34.2
135,8/5/23, 14:30:00,661,43.8
136,8/5/23, 14:40:00,773,51.2
