Site Name ,SANT-ANGELO-10M
Site Number ,3
Logger ,Integrating Light Sensor
Logger Serial Number ,13340


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,11/09/2023 , 10:15:00,20,1.24
2,11/09/2023 , 10:30:00,50,3.1
3,11/09/2023 , 10:45:00,260,16.12
4,11/09/2023 , 11:00:00,1381,85.61
5,11/09/2023 , 11:15:00,720,44.63
6,11/09/2023 , 11:30:00,860,53.31
7,11/09/2023 , 11:45:00,1130,70.05
8,11/09/2023 , 12:00:00,1736,107.61
9,11/09/2023 , 12:15:00,2924,181.26
10,11/09/2023 , 12:30:00,4154,257.51
11,11/09/2023 , 12:45:00,4653,288.44
12,11/09/2023 , 13:00:00,4776,296.06
13,11/09/2023 , 13:15:00,4739,293.77
14,11/09/2023 , 13:30:00,4635,287.32
15,11/09/2023 , 13:45:00,4513,279.76
16,11/09/2023 , 14:00:00,4333,268.6
17,11/09/2023 , 14:15:00,4146,257.01
18,11/09/2023 , 14:30:00,3845,238.35
19,11/09/2023 , 14:45:00,3583,222.11
20,11/09/2023 , 15:00:00,3292,204.07
21,11/09/2023 , 15:15:00,2995,185.66
22,11/09/2023 , 15:30:00,2647,164.09
23,11/09/2023 , 15:45:00,2353,145.86
24,11/09/2023 , 16:00:00,2096,129.93
25,11/09/2023 , 16:15:00,1826,113.19
26,11/09/2023 , 16:30:00,1586,98.32
27,11/09/2023 , 16:45:00,1357,84.12
28,11/09/2023 , 17:00:00,1116,69.18
29,11/09/2023 , 17:15:00,888,55.05
30,11/09/2023 , 17:30:00,695,43.08
31,11/09/2023 , 17:45:00,539,33.41
32,11/09/2023 , 18:00:00,416,25.79
33,11/09/2023 , 18:15:00,315,19.53
34,11/09/2023 , 18:30:00,227,14.07
35,11/09/2023 , 18:45:00,140,8.68
36,11/09/2023 , 19:00:00,79,4.9
37,11/09/2023 , 19:15:00,37,2.29
38,11/09/2023 , 19:30:00,6,0.37
39,11/09/2023 , 19:45:00,0,0
40,11/09/2023 , 20:00:00,0,0
41,11/09/2023 , 20:15:00,0,0
42,11/09/2023 , 20:30:00,0,0
43,11/09/2023 , 20:45:00,0,0
44,11/09/2023 , 21:00:00,0,0
45,11/09/2023 , 21:15:00,0,0
46,11/09/2023 , 21:30:00,0,0
47,11/09/2023 , 21:45:00,0,0
48,11/09/2023 , 22:00:00,0,0
49,11/09/2023 , 22:15:00,0,0
50,11/09/2023 , 22:30:00,0,0
51,11/09/2023 , 22:45:00,0,0
52,11/09/2023 , 23:00:00,0,0
53,11/09/2023 , 23:15:00,0,0
54,11/09/2023 , 23:30:00,0,0
55,11/09/2023 , 23:45:00,0,0
56,11/09/2023 , 24:00:00,0,0
57,12/09/2023 , 00:15:00,0,0
58,12/09/2023 , 00:30:00,0,0
59,12/09/2023 , 00:45:00,0,0
60,12/09/2023 , 01:00:00,0,0
61,12/09/2023 , 01:15:00,0,0
62,12/09/2023 , 01:30:00,0,0
63,12/09/2023 , 01:45:00,0,0
64,12/09/2023 , 02:00:00,0,0
65,12/09/2023 , 02:15:00,0,0
66,12/09/2023 , 02:30:00,0,0
67,12/09/2023 , 02:45:00,0,0
68,12/09/2023 , 03:00:00,0,0
69,12/09/2023 , 03:15:00,0,0
70,12/09/2023 , 03:30:00,0,0
71,12/09/2023 , 03:45:00,0,0
72,12/09/2023 , 04:00:00,0,0
73,12/09/2023 , 04:15:00,0,0
74,12/09/2023 , 04:30:00,0,0
75,12/09/2023 , 04:45:00,0,0
76,12/09/2023 , 05:00:00,0,0
77,12/09/2023 , 05:15:00,0,0
78,12/09/2023 , 05:30:00,0,0
79,12/09/2023 , 05:45:00,0,0
80,12/09/2023 , 06:00:00,0,0
81,12/09/2023 , 06:15:00,0,0
82,12/09/2023 , 06:30:00,0,0
83,12/09/2023 , 06:45:00,3,0.19
84,12/09/2023 , 07:00:00,31,1.92
85,12/09/2023 , 07:15:00,68,4.22
86,12/09/2023 , 07:30:00,103,6.38
87,12/09/2023 , 07:45:00,134,8.31
88,12/09/2023 , 08:00:00,164,10.17
89,12/09/2023 , 08:15:00,193,11.96
90,12/09/2023 , 08:30:00,219,13.58
91,12/09/2023 , 08:45:00,241,14.94
92,12/09/2023 , 09:00:00,266,16.49
93,12/09/2023 , 09:15:00,290,17.98
94,12/09/2023 , 09:30:00,319,19.77
95,12/09/2023 , 09:45:00,350,21.7
96,12/09/2023 , 10:00:00,388,24.05
97,12/09/2023 , 10:15:00,434,26.9
98,12/09/2023 , 10:30:00,479,29.69
99,12/09/2023 , 10:45:00,536,33.23
100,12/09/2023 , 11:00:00,614,38.06
101,12/09/2023 , 11:15:00,723,44.82
102,12/09/2023 , 11:30:00,871,53.99
103,12/09/2023 , 11:45:00,1143,70.85
104,12/09/2023 , 12:00:00,1699,105.32
105,12/09/2023 , 12:15:00,2699,167.31
