Site Name ,SANT-ANGELO-2M
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,13341


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,11/09/2023 , 10:15:00,391,22.84
2,11/09/2023 , 10:30:00,955,55.79
3,11/09/2023 , 10:45:00,1212,70.8
4,11/09/2023 , 11:00:00,7769,453.85
5,11/09/2023 , 11:15:00,9105,531.9
6,11/09/2023 , 11:30:00,9497,554.79
7,11/09/2023 , 11:45:00,9760,570.16
8,11/09/2023 , 12:00:00,10124,591.42
9,11/09/2023 , 12:15:00,10307,602.11
10,11/09/2023 , 12:30:00,10381,606.44
11,11/09/2023 , 12:45:00,10498,613.27
12,11/09/2023 , 13:00:00,10696,624.84
13,11/09/2023 , 13:15:00,10699,625.01
14,11/09/2023 , 13:30:00,10817,631.91
15,11/09/2023 , 13:45:00,10745,627.7
16,11/09/2023 , 14:00:00,10620,620.4
17,11/09/2023 , 14:15:00,10472,611.75
18,11/09/2023 , 14:30:00,10200,595.86
19,11/09/2023 , 14:45:00,9903,578.51
20,11/09/2023 , 15:00:00,9693,566.24
21,11/09/2023 , 15:15:00,9091,531.08
22,11/09/2023 , 15:30:00,8660,505.9
23,11/09/2023 , 15:45:00,8154,476.34
24,11/09/2023 , 16:00:00,7561,441.7
25,11/09/2023 , 16:15:00,7077,413.42
26,11/09/2023 , 16:30:00,6460,377.38
27,11/09/2023 , 16:45:00,5814,339.64
28,11/09/2023 , 17:00:00,5197,303.6
29,11/09/2023 , 17:15:00,4535,264.93
30,11/09/2023 , 17:30:00,3861,225.55
31,11/09/2023 , 17:45:00,3185,186.06
32,11/09/2023 , 18:00:00,2552,149.08
33,11/09/2023 , 18:15:00,1955,114.21
34,11/09/2023 , 18:30:00,1360,79.45
35,11/09/2023 , 18:45:00,641,37.45
36,11/09/2023 , 19:00:00,284,16.59
37,11/09/2023 , 19:15:00,142,8.3
38,11/09/2023 , 19:30:00,36,2.1
39,11/09/2023 , 19:45:00,1,0.06
40,11/09/2023 , 20:00:00,0,0
41,11/09/2023 , 20:15:00,0,0
42,11/09/2023 , 20:30:00,0,0
43,11/09/2023 , 20:45:00,0,0
44,11/09/2023 , 21:00:00,0,0
45,11/09/2023 , 21:15:00,0,0
46,11/09/2023 , 21:30:00,0,0
47,11/09/2023 , 21:45:00,0,0
48,11/09/2023 , 22:00:00,0,0
49,11/09/2023 , 22:15:00,0,0
50,11/09/2023 , 22:30:00,0,0
51,11/09/2023 , 22:45:00,0,0
52,11/09/2023 , 23:00:00,0,0
53,11/09/2023 , 23:15:00,0,0
54,11/09/2023 , 23:30:00,0,0
55,11/09/2023 , 23:45:00,0,0
56,11/09/2023 , 24:00:00,0,0
57,12/09/2023 , 00:15:00,0,0
58,12/09/2023 , 00:30:00,0,0
59,12/09/2023 , 00:45:00,0,0
60,12/09/2023 , 01:00:00,0,0
61,12/09/2023 , 01:15:00,0,0
62,12/09/2023 , 01:30:00,0,0
63,12/09/2023 , 01:45:00,0,0
64,12/09/2023 , 02:00:00,0,0
65,12/09/2023 , 02:15:00,0,0
66,12/09/2023 , 02:30:00,0,0
67,12/09/2023 , 02:45:00,0,0
68,12/09/2023 , 03:00:00,0,0
69,12/09/2023 , 03:15:00,0,0
70,12/09/2023 , 03:30:00,0,0
71,12/09/2023 , 03:45:00,0,0
72,12/09/2023 , 04:00:00,0,0
73,12/09/2023 , 04:15:00,0,0
74,12/09/2023 , 04:30:00,0,0
75,12/09/2023 , 04:45:00,0,0
76,12/09/2023 , 05:00:00,0,0
77,12/09/2023 , 05:15:00,0,0
78,12/09/2023 , 05:30:00,0,0
79,12/09/2023 , 05:45:00,0,0
80,12/09/2023 , 06:00:00,0,0
81,12/09/2023 , 06:15:00,0,0
82,12/09/2023 , 06:30:00,0,0
83,12/09/2023 , 06:45:00,21,1.23
84,12/09/2023 , 07:00:00,102,5.96
85,12/09/2023 , 07:15:00,210,12.27
86,12/09/2023 , 07:30:00,308,17.99
87,12/09/2023 , 07:45:00,383,22.37
88,12/09/2023 , 08:00:00,443,25.88
89,12/09/2023 , 08:15:00,491,28.68
90,12/09/2023 , 08:30:00,527,30.79
91,12/09/2023 , 08:45:00,560,32.71
92,12/09/2023 , 09:00:00,577,33.71
93,12/09/2023 , 09:15:00,601,35.11
94,12/09/2023 , 09:30:00,634,37.04
95,12/09/2023 , 09:45:00,658,38.44
96,12/09/2023 , 10:00:00,702,41.01
97,12/09/2023 , 10:15:00,761,44.46
98,12/09/2023 , 10:30:00,805,47.03
99,12/09/2023 , 10:45:00,1465,85.58
100,12/09/2023 , 11:00:00,7688,449.12
101,12/09/2023 , 11:15:00,8639,504.67
102,12/09/2023 , 11:30:00,9042,528.21
103,12/09/2023 , 11:45:00,9377,547.78
104,12/09/2023 , 12:00:00,9639,563.09
