Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1686811920,+3.50,+20.439, +8.536,+0.960
1686811980,+3.50,+20.908, +8.447,+0.960
1686812040,+3.50,+21.302, +8.391,+0.960
1686812100,+3.50,+21.586, +8.350,+0.960
1686812160,+3.50,+21.770, +8.337,+0.960
1686812220,+3.50,+21.929, +8.305,+0.960
1686812280,+3.49,+22.071, +8.287,+0.960
1686812340,+3.49,+22.138, +8.277,+0.960
1686812400,+3.50,+22.230, +8.220,+0.959
1686812460,+3.50,+22.205, +8.238,+0.960
1686812520,+3.50,+22.247, +8.219,+0.959
1686812580,+3.50,+22.255, +8.226,+0.959
1686812640,+3.50,+22.322, +8.216,+0.960
1686812700,+3.50,+22.364, +8.203,+0.959
1686812760,+3.50,+22.397, +8.190,+0.959
1686812820,+3.50,+22.439, +8.195,+0.959
1686812880,+3.50,+22.473, +8.193,+0.959
1686812940,+3.50,+22.515, +8.190,+0.959
1686813000,+3.50,+22.582, +8.169,+0.959
1686813060,+3.50,+22.623, +8.168,+0.959
1686813120,+3.50,+22.690, +8.152,+0.959
1686813180,+3.50,+22.741, +8.143,+0.959
1686813240,+3.50,+22.799, +8.134,+0.959
1686813300,+3.50,+22.849, +8.131,+0.959
1686813360,+3.50,+22.858, +8.127,+0.959
1686813420,+3.49,+22.875, +8.138,+0.959
1686813480,+3.49,+22.916, +8.135,+0.959
1686813540,+3.49,+22.983, +8.123,+0.960
1686813600,+3.49,+23.025, +8.108,+0.959
1686813660,+3.49,+23.075, +8.106,+0.959
1686813720,+3.49,+23.142, +8.100,+0.959
1686813780,+3.49,+23.201, +8.093,+0.959
1686813840,+3.50,+23.285, +8.084,+0.959
1686813900,+3.50,+23.352, +8.072,+0.959
1686813960,+3.50,+23.427, +8.067,+0.959
1686814020,+3.50,+23.519, +8.055,+0.960
1686814080,+3.50,+23.603, +8.049,+0.960
1686814140,+3.50,+23.704, +8.021,+0.959
1686814200,+3.49,+23.779, +8.011,+0.959
1686814260,+3.49,+23.855, +8.000,+0.959
1686814320,+3.49,+23.922, +7.997,+0.960
1686814380,+3.49,+23.997, +7.981,+0.959
1686814440,+3.49,+24.031, +7.982,+0.960
1686814500,+3.49,+24.081, +7.968,+0.959
1686814560,+3.49,+24.148, +7.961,+0.960
1686814620,+3.49,+24.148, +7.953,+0.959
1686814680,+3.49,+24.207, +7.956,+0.960
1686814740,+3.49,+24.249, +7.940,+0.959
1686814800,+3.49,+24.274, +7.940,+0.959
1686814860,+3.49,+24.299, +7.942,+0.959
1686814920,+3.49,+24.350, +7.935,+0.960
1686814980,+3.50,+24.400, +7.933,+0.960
1686815040,+3.50,+24.417, +7.919,+0.959
1686815100,+3.50,+24.476, +7.924,+0.960
1686815160,+3.49,+24.518, +7.912,+0.959
1686815220,+3.49,+24.518, +7.918,+0.959
1686815280,+3.49,+24.560, +7.907,+0.959
1686815340,+3.49,+24.577, +7.903,+0.959
1686815400,+3.49,+24.627, +7.893,+0.959
1686815460,+3.49,+24.619, +7.899,+0.959
1686815520,+3.49,+24.652, +7.888,+0.959
1686815580,+3.49,+24.635, +7.897,+0.959
1686815640,+3.49,+24.678, +7.884,+0.959
1686815700,+3.49,+24.686, +7.891,+0.959
1686815760,+3.49,+24.711, +7.894,+0.960
1686815820,+3.49,+24.745, +7.885,+0.959
1686815880,+3.49,+24.787, +7.875,+0.959
1686815940,+3.49,+24.829, +7.866,+0.959
1686816000,+3.49,+24.879, +7.865,+0.959
1686816060,+3.49,+24.963, +7.857,+0.960
1686816120,+3.49,+25.014, +7.846,+0.959
1686816180,+3.49,+25.098, +7.845,+0.960
1686816240,+3.49,+25.165, +7.823,+0.959
1686816300,+3.49,+25.224, +7.830,+0.960
1686816360,+3.49,+25.300, +7.815,+0.959
1686816420,+3.49,+25.376, +7.800,+0.959
1686816480,+3.49,+25.443, +7.801,+0.960
1686816540,+3.49,+25.519, +7.788,+0.959
1686816600,+3.49,+25.620, +7.777,+0.960
1686816660,+3.49,+25.688, +7.775,+0.960
1686816720,+3.49,+25.814, +7.757,+0.959
1686816780,+3.49,+25.907, +7.757,+0.960
1686816840,+3.49,+26.034, +7.734,+0.959
1686816900,+3.49,+26.194, +7.723,+0.960
1686816960,+3.49,+26.338, +7.707,+0.959
1686817020,+3.49,+26.499, +7.694,+0.960
1686817080,+3.49,+26.643, +7.684,+0.960
1686817140,+3.49,+26.804, +7.671,+0.960
1686817200,+3.49,+26.982, +7.638,+0.960
1686817260,+3.49,+27.126, +7.633,+0.960
1686817320,+3.49,+27.236, +7.622,+0.960
1686817380,+3.49,+26.279, +7.651,+0.957
1686817440,+3.49,+25.671, +7.886,+0.959
1686817500,+3.49,+25.359, +7.928,+0.959
1686817560,+3.49,+24.997, +7.929,+0.958
1686817620,+3.49,+24.795, +7.923,+0.959
1686817680,+3.49,+24.484, +8.058,+0.958
1686817740,+3.49,+24.299, +8.182,+0.959
1686817800,+3.49,+24.232, +8.241,+0.959
1686817860,+3.49,+24.157, +8.285,+0.959
1686817920,+3.49,+24.106, +8.302,+0.960
1686817980,+3.49,+24.039, +8.325,+0.960
1686818040,+3.49,+23.981, +8.358,+0.959
1686818100,+3.49,+23.947, +8.424,+0.960
1686818160,+3.49,+23.905, +8.470,+0.959
1686818220,+3.49,+23.888, +8.509,+0.960
1686818280,+3.49,+23.880, +8.503,+0.959
1686818340,+3.49,+23.838, +8.524,+0.959
1686818400,+3.49,+23.830, +8.771,+0.960
1686818460,+3.49,+23.846, +8.775,+0.960
1686818520,+3.49,+23.838, +8.791,+0.960
1686818580,+3.49,+23.855, +8.796,+0.961
1686818640,+3.49,+23.863, +8.788,+0.960
1686818700,+3.49,+23.872, +8.803,+0.960
1686818760,+3.49,+23.880, +8.825,+0.960
1686818820,+3.49,+23.888, +8.838,+0.960
1686818880,+3.49,+23.905, +8.855,+0.960
1686818940,+3.49,+23.888, +8.890,+0.961
1686819000,+3.49,+23.905, +8.894,+0.960
1686819060,+3.49,+23.922, +8.919,+0.960
1686819120,+3.49,+23.947, +8.931,+0.960
1686819180,+3.49,+23.939, +8.976,+0.961
1686819240,+3.49,+23.955, +9.006,+0.961
1686819300,+3.49,+23.981, +9.023,+0.960
1686819360,+3.49,+23.997, +9.071,+0.961
1686819420,+3.49,+24.023, +9.119,+0.960
1686819480,+3.49,+24.048, +9.185,+0.961
1686819540,+3.49,+24.081, +9.251,+0.961
1686819600,+3.49,+24.106, +9.331,+0.962
1686819660,+3.49,+24.132, +9.404,+0.961
1686819720,+3.49,+24.157, +9.455,+0.961
1686819780,+3.49,+24.174, +9.532,+0.961
1686819840,+3.49,+24.199, +9.601,+0.961
1686819900,+3.49,+24.207, +9.677,+0.962
1686819960,+3.49,+24.199, +9.740,+0.961
1686820020,+3.49,+24.241, +9.802,+0.962
1686820080,+3.49,+24.274, +9.867,+0.962
1686820140,+3.49,+24.283, +9.954,+0.962
1686820200,+3.49,+24.299,+10.012,+0.962
1686820260,+3.49,+24.325,+10.081,+0.961
1686820320,+3.49,+24.375,+10.144,+0.962
1686820380,+3.49,+24.383,+10.230,+0.961
1686820440,+3.49,+24.409,+10.317,+0.962
1686820500,+3.49,+24.442,+10.403,+0.962
1686820560,+3.49,+24.451,+10.482,+0.963
1686820620,+3.49,+24.476,+10.536,+0.962
1686820680,+3.49,+24.484,+10.631,+0.963
1686820740,+3.49,+24.518,+10.686,+0.962
1686820800,+3.49,+24.535,+10.768,+0.963
1686820860,+3.49,+24.560,+10.832,+0.963
1686820920,+3.49,+24.585,+10.895,+0.963
1686820980,+3.49,+24.585,+10.965,+0.963
1686821040,+3.49,+24.593,+11.040,+0.963
1686821100,+3.49,+24.610,+11.116,+0.963
1686821160,+3.49,+24.627,+11.190,+0.963
1686821220,+3.49,+24.627,+11.252,+0.963
1686821280,+3.49,+24.652,+11.296,+0.963
1686821340,+3.49,+24.661,+11.379,+0.964
1686821400,+3.49,+24.644,+11.432,+0.963
1686821460,+3.49,+24.652,+11.495,+0.963
1686821520,+3.49,+24.669,+11.538,+0.963
1686821580,+3.49,+24.678,+11.582,+0.964
1686821640,+3.49,+24.678,+11.624,+0.963
1686821700,+3.49,+24.703,+11.667,+0.963
1686821760,+3.49,+24.686,+11.723,+0.963
1686821820,+3.49,+24.703,+11.744,+0.963
1686821880,+3.49,+24.694,+11.852,+0.964
1686821940,+3.49,+24.711,+12.013,+0.964
1686822000,+3.49,+24.711,+12.225,+0.965
1686822060,+3.49,+24.686,+12.279,+0.964
1686822120,+3.49,+24.669,+12.218,+0.964
1686822180,+3.49,+24.669,+12.193,+0.965
1686822240,+3.49,+24.678,+12.130,+0.965
1686822300,+3.49,+24.703,+12.035,+0.965
1686822360,+3.49,+24.686,+11.987,+0.964
1686822420,+3.49,+24.694,+11.936,+0.964
1686822480,+3.49,+24.711,+11.861,+0.963
1686822540,+3.49,+24.711,+11.792,+0.964
1686822600,+3.49,+24.728,+11.620,+0.964
1686822660,+3.49,+24.728,+11.526,+0.963
1686822720,+3.49,+24.762,+11.489,+0.963
1686822780,+3.49,+24.770,+11.549,+0.964
1686822840,+3.49,+24.753,+11.647,+0.964
1686822900,+3.49,+24.711,+11.576,+0.963
1686822960,+3.49,+24.678,+11.506,+0.963
1686823020,+3.49,+24.635,+11.456,+0.963
1686823080,+3.49,+24.610,+11.409,+0.963
1686823140,+3.49,+24.577,+11.384,+0.963
1686823200,+3.49,+24.535,+11.343,+0.963
1686823260,+3.49,+24.518,+11.336,+0.964
1686823320,+3.49,+24.535, +9.583,+0.961
1686823380,+3.49,+24.577, +8.383,+0.959
1686823440,+3.49,+24.619, +7.870,+0.959
1686823500,+3.49,+24.610, +7.414,+0.958
1686823560,+3.49,+24.610, +7.003,+0.958
1686823620,+3.49,+24.610, +6.635,+0.957
1686823680,+3.49,+24.585, +6.354,+0.957
1686823740,+3.49,+24.585, +6.120,+0.957
1686823800,+3.49,+24.585, +5.945,+0.957
1686823860,+3.49,+24.551, +5.806,+0.957
1686823920,+3.49,+24.568, +5.672,+0.957
1686823980,+3.49,+24.551, +5.549,+0.957
1686824040,+3.49,+24.577, +5.439,+0.957
1686824100,+3.49,+24.543, +5.342,+0.956
1686824160,+3.49,+24.560, +5.262,+0.956
1686824220,+3.49,+24.551, +5.186,+0.956
1686824280,+3.49,+24.560, +5.155,+0.956
1686824340,+3.49,+24.535, +7.395,+0.958
1686824400,+3.49,+24.451, +7.540,+0.959
1686824460,+3.49,+24.350, +7.946,+0.959
1686824520,+3.49,+24.216, +8.005,+0.959
1686824580,+3.49,+24.165, +7.975,+0.959
1686824640,+3.49,+24.123, +7.866,+0.959
1686824700,+3.49,+24.115, +7.810,+0.959
1686824760,+3.49,+24.115, +7.769,+0.959
1686824820,+3.49,+24.115, +7.733,+0.959
1686824880,+3.49,+24.106, +7.672,+0.959
1686824940,+3.49,+24.106, +7.576,+0.959
1686825000,+3.49,+24.106, +7.426,+0.959
1686825060,+3.49,+24.123, +7.293,+0.958
1686825120,+3.49,+24.115, +7.217,+0.958
1686825180,+3.49,+24.090, +7.118,+0.958
1686825240,+3.49,+24.115, +7.060,+0.959
1686825300,+3.49,+24.132, +7.011,+0.958
1686825360,+3.49,+24.123, +6.911,+0.959
1686825420,+3.49,+24.123, +6.814,+0.958
1686825480,+3.49,+24.148, +6.748,+0.958
1686825540,+3.49,+24.132, +6.681,+0.958
1686825600,+3.49,+24.140, +6.621,+0.958
1686825660,+3.49,+24.165, +6.564,+0.958
1686825720,+3.49,+24.182, +6.503,+0.958
1686825780,+3.49,+24.165, +6.429,+0.958
1686825840,+3.49,+24.190, +6.323,+0.957
1686825900,+3.49,+24.182, +6.111,+0.957
1686825960,+3.49,+24.165, +6.009,+0.957
