Site Name ,GROTTA-MAGO-2M
Site Number ,7
Logger ,Integrating Light Sensor
Logger Serial Number ,13350


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,29/05/2023 , 05:05:00,0,0
2,29/05/2023 , 05:10:00,0,0
3,29/05/2023 , 05:15:00,0,0
4,29/05/2023 , 05:20:00,0,0
5,29/05/2023 , 05:25:00,0,0
6,29/05/2023 , 05:30:00,7,0.5
7,29/05/2023 , 05:35:00,2,0.1
8,29/05/2023 , 05:40:00,0,0
9,29/05/2023 , 05:45:00,0,0
10,29/05/2023 , 05:50:00,0,0
11,29/05/2023 , 05:55:00,0,0
12,29/05/2023 , 06:00:00,56,4
13,29/05/2023 , 06:05:00,103,7.3
14,29/05/2023 , 06:10:00,127,9
15,29/05/2023 , 06:15:00,146,10.4
16,29/05/2023 , 06:20:00,149,10.6
17,29/05/2023 , 06:25:00,183,13
18,29/05/2023 , 06:30:00,203,14.5
19,29/05/2023 , 06:35:00,227,16.2
20,29/05/2023 , 06:40:00,247,17.6
21,29/05/2023 , 06:45:00,266,18.9
22,29/05/2023 , 06:50:00,282,20.1
23,29/05/2023 , 06:55:00,298,21.2
24,29/05/2023 , 07:00:00,318,22.6
25,29/05/2023 , 07:05:00,329,23.4
26,29/05/2023 , 07:10:00,339,24.1
27,29/05/2023 , 07:15:00,356,25.3
28,29/05/2023 , 07:20:00,366,26.1
29,29/05/2023 , 07:25:00,379,27
30,29/05/2023 , 07:30:00,393,28
31,29/05/2023 , 07:35:00,392,27.9
32,29/05/2023 , 07:40:00,415,29.5
33,29/05/2023 , 07:45:00,438,31.2
34,29/05/2023 , 07:50:00,448,31.9
35,29/05/2023 , 07:55:00,432,30.8
36,29/05/2023 , 08:00:00,471,33.5
37,29/05/2023 , 08:05:00,492,35
38,29/05/2023 , 08:10:00,512,36.5
39,29/05/2023 , 08:15:00,521,37.1
40,29/05/2023 , 08:20:00,537,38.2
41,29/05/2023 , 08:25:00,553,39.4
42,29/05/2023 , 08:30:00,568,40.4
43,29/05/2023 , 08:35:00,580,41.3
44,29/05/2023 , 08:40:00,597,42.5
45,29/05/2023 , 08:45:00,616,43.9
46,29/05/2023 , 08:50:00,626,44.6
47,29/05/2023 , 08:55:00,634,45.1
48,29/05/2023 , 09:00:00,638,45.4
49,29/05/2023 , 09:05:00,654,46.6
50,29/05/2023 , 09:10:00,673,47.9
51,29/05/2023 , 09:15:00,688,49
52,29/05/2023 , 09:20:00,714,50.8
53,29/05/2023 , 09:25:00,745,53
54,29/05/2023 , 09:30:00,801,57
55,29/05/2023 , 09:35:00,817,58.2
56,29/05/2023 , 09:40:00,849,60.4
57,29/05/2023 , 09:45:00,857,61
58,29/05/2023 , 09:50:00,913,65
59,29/05/2023 , 09:55:00,1156,82.3
60,29/05/2023 , 10:00:00,4203,299.2
61,29/05/2023 , 10:05:00,1664,118.5
62,29/05/2023 , 10:10:00,1089,77.5
63,29/05/2023 , 10:15:00,3169,225.6
64,29/05/2023 , 10:20:00,4982,354.7
65,29/05/2023 , 10:25:00,5270,375.2
66,29/05/2023 , 10:30:00,5499,391.5
67,29/05/2023 , 10:35:00,5705,406.2
68,29/05/2023 , 10:40:00,5749,409.3
69,29/05/2023 , 10:45:00,5809,413.6
70,29/05/2023 , 10:50:00,5858,417.1
71,29/05/2023 , 10:55:00,6087,433.4
72,29/05/2023 , 11:00:00,6238,444.1
73,29/05/2023 , 11:05:00,6257,445.5
74,29/05/2023 , 11:10:00,6203,441.6
75,29/05/2023 , 11:15:00,6420,457.1
76,29/05/2023 , 11:20:00,6466,460.4
77,29/05/2023 , 11:25:00,6561,467.1
78,29/05/2023 , 11:30:00,6382,454.4
79,29/05/2023 , 11:35:00,6634,472.3
80,29/05/2023 , 11:40:00,6765,481.6
81,29/05/2023 , 11:45:00,6829,486.2
82,29/05/2023 , 11:50:00,6829,486.2
83,29/05/2023 , 11:55:00,6932,493.5
84,29/05/2023 , 12:00:00,6719,478.4
85,29/05/2023 , 12:05:00,5940,422.9
86,29/05/2023 , 12:10:00,4583,326.3
87,29/05/2023 , 12:15:00,4130,294
88,29/05/2023 , 12:20:00,3667,261.1
89,29/05/2023 , 12:25:00,3204,228.1
90,29/05/2023 , 12:30:00,2807,199.8
91,29/05/2023 , 12:35:00,2735,194.7
92,29/05/2023 , 12:40:00,7134,507.9
93,29/05/2023 , 12:45:00,6997,498.2
94,29/05/2023 , 12:50:00,6944,494.4
95,29/05/2023 , 12:55:00,6950,494.8
96,29/05/2023 , 13:00:00,6975,496.6
97,29/05/2023 , 13:05:00,6973,496.5
98,29/05/2023 , 13:10:00,6936,493.8
99,29/05/2023 , 13:15:00,6846,487.4
100,29/05/2023 , 13:20:00,6750,480.6
101,29/05/2023 , 13:25:00,6910,492
102,29/05/2023 , 13:30:00,6920,492.7
