scan No, Date, Time, raw_value, calibrated_value
1,29/05/2023 , 05:05:00,0,0
2,29/05/2023 , 05:10:00,0,0
3,29/05/2023 , 05:15:00,0,0
4,29/05/2023 , 05:20:00,0,0
5,29/05/2023 , 05:25:00,0,0
6,29/05/2023 , 05:30:00,7,0.5
7,29/05/2023 , 05:35:00,1,0.1
8,29/05/2023 , 05:40:00,0,0
9,29/05/2023 , 05:45:00,0,0
10,29/05/2023 , 05:50:00,0,0
11,29/05/2023 , 05:55:00,0,0
12,29/05/2023 , 06:00:00,56,4.1
13,29/05/2023 , 06:05:00,137,10.1
14,29/05/2023 , 06:10:00,127,9.3
15,29/05/2023 , 06:15:00,146,10.7
16,29/05/2023 , 06:20:00,149,10.9
17,29/05/2023 , 06:25:00,186,13.7
18,29/05/2023 , 06:30:00,206,15.1
19,29/05/2023 , 06:35:00,229,16.8
20,29/05/2023 , 06:40:00,251,18.4
21,29/05/2023 , 06:45:00,269,19.8
22,29/05/2023 , 06:50:00,284,20.9
23,29/05/2023 , 06:55:00,302,22.2
24,29/05/2023 , 07:00:00,320,23.5
25,29/05/2023 , 07:05:00,333,24.4
26,29/05/2023 , 07:10:00,344,25.3
27,29/05/2023 , 07:15:00,359,26.4
28,29/05/2023 , 07:20:00,370,27.2
29,29/05/2023 , 07:25:00,383,28.1
30,29/05/2023 , 07:30:00,398,29.2
31,29/05/2023 , 07:35:00,397,29.1
32,29/05/2023 , 07:40:00,420,30.8
33,29/05/2023 , 07:45:00,443,32.5
34,29/05/2023 , 07:50:00,453,33.3
35,29/05/2023 , 07:55:00,437,32.1
36,29/05/2023 , 08:00:00,475,34.9
37,29/05/2023 , 08:05:00,496,36.4
38,29/05/2023 , 08:10:00,514,37.7
39,29/05/2023 , 08:15:00,526,38.6
40,29/05/2023 , 08:20:00,541,39.7
41,29/05/2023 , 08:25:00,555,40.7
42,29/05/2023 , 08:30:00,571,41.9
43,29/05/2023 , 08:35:00,583,42.8
44,29/05/2023 , 08:40:00,598,43.9
45,29/05/2023 , 08:45:00,617,45.3
46,29/05/2023 , 08:50:00,628,46.1
47,29/05/2023 , 08:55:00,633,46.5
48,29/05/2023 , 09:00:00,640,47
49,29/05/2023 , 09:05:00,655,48.1
50,29/05/2023 , 09:10:00,674,49.5
51,29/05/2023 , 09:15:00,688,50.5
52,29/05/2023 , 09:20:00,717,52.6
53,29/05/2023 , 09:25:00,748,54.9
54,29/05/2023 , 09:30:00,801,58.8
55,29/05/2023 , 09:35:00,819,60.1
56,29/05/2023 , 09:40:00,849,62.3
57,29/05/2023 , 09:45:00,859,63.1
58,29/05/2023 , 09:50:00,915,67.2
59,29/05/2023 , 09:55:00,1214,89.1
60,29/05/2023 , 10:00:00,3925,288.2
61,29/05/2023 , 10:05:00,1529,112.3
62,29/05/2023 , 10:10:00,1088,79.9
63,29/05/2023 , 10:15:00,3074,225.7
64,29/05/2023 , 10:20:00,4774,350.5
65,29/05/2023 , 10:25:00,5103,374.7
66,29/05/2023 , 10:30:00,5296,388.8
67,29/05/2023 , 10:35:00,5467,401.4
68,29/05/2023 , 10:40:00,5487,402.9
69,29/05/2023 , 10:45:00,5637,413.9
70,29/05/2023 , 10:50:00,5751,422.3
71,29/05/2023 , 10:55:00,5909,433.9
72,29/05/2023 , 11:00:00,6069,445.6
73,29/05/2023 , 11:05:00,6063,445.2
74,29/05/2023 , 11:10:00,6192,454.6
75,29/05/2023 , 11:15:00,6460,474.3
76,29/05/2023 , 11:20:00,6551,481
77,29/05/2023 , 11:25:00,6554,481.2
78,29/05/2023 , 11:30:00,6355,466.6
79,29/05/2023 , 11:35:00,6648,488.1
80,29/05/2023 , 11:40:00,6732,494.3
81,29/05/2023 , 11:45:00,6761,496.4
82,29/05/2023 , 11:50:00,6914,507.6
83,29/05/2023 , 11:55:00,6968,511.6
84,29/05/2023 , 12:00:00,6659,488.9
85,29/05/2023 , 12:05:00,6777,497.6
86,29/05/2023 , 12:10:00,6616,485.8
87,29/05/2023 , 12:15:00,6605,485
88,29/05/2023 , 12:20:00,6621,486.1
89,29/05/2023 , 12:25:00,6650,488.3
90,29/05/2023 , 12:30:00,6610,485.3
91,29/05/2023 , 12:35:00,6615,485.7
92,29/05/2023 , 12:40:00,7074,519.4
93,29/05/2023 , 12:45:00,7085,520.2
94,29/05/2023 , 12:50:00,7108,521.9
95,29/05/2023 , 12:55:00,7140,524.2
96,29/05/2023 , 13:00:00,7145,524.6
97,29/05/2023 , 13:05:00,7144,524.5
98,29/05/2023 , 13:10:00,7109,522
99,29/05/2023 , 13:15:00,7061,518.4
100,29/05/2023 , 13:20:00,6980,512.5
101,29/05/2023 , 13:25:00,7148,524.8
102,29/05/2023 , 13:30:00,7113,522.3
103,29/05/2023 , 13:35:00,7097,521.1
104,29/05/2023 , 13:40:00,3979,292.2
105,29/05/2023 , 13:45:00,275,20.2
106,29/05/2023 , 13:50:00,348,25.6
107,29/05/2023 , 13:55:00,278,20.4
108,29/05/2023 , 14:00:00,1060,77.8
109,29/05/2023 , 14:05:00,248,18.2
110,29/05/2023 , 14:10:00,32,2.3
111,29/05/2023 , 14:15:00,64,4.7
112,29/05/2023 , 14:20:00,54,4
113,29/05/2023 , 14:25:00,99,7.3
114,29/05/2023 , 14:30:00,39,2.9
115,29/05/2023 , 14:35:00,1,0.1
116,29/05/2023 , 14:40:00,1,0.1
117,29/05/2023 , 14:45:00,0,0
118,29/05/2023 , 14:50:00,0,0
119,29/05/2023 , 14:55:00,0,0
120,29/05/2023 , 15:00:00,0,0
121,29/05/2023 , 15:05:00,0,0
122,29/05/2023 , 15:10:00,0,0
