Site Name ,GROTTA-MAGO-2M
Site Number ,7
Logger ,Integrating Light Sensor
Logger Serial Number ,13350


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/05/2023 , 05:05:00,0,0
2,30/05/2023 , 05:10:00,0,0
3,30/05/2023 , 05:15:00,0,0
4,30/05/2023 , 05:20:00,0,0
5,30/05/2023 , 05:25:00,4,0.3
6,30/05/2023 , 05:30:00,10,0.7
7,30/05/2023 , 05:35:00,22,1.6
8,30/05/2023 , 05:40:00,37,2.6
9,30/05/2023 , 05:45:00,52,3.7
10,30/05/2023 , 05:50:00,67,4.8
11,30/05/2023 , 05:55:00,57,4.1
12,30/05/2023 , 06:00:00,81,5.8
13,30/05/2023 , 06:05:00,101,7.2
14,30/05/2023 , 06:10:00,123,8.8
15,30/05/2023 , 06:15:00,150,10.7
16,30/05/2023 , 06:20:00,173,12.3
17,30/05/2023 , 06:25:00,186,13.2
18,30/05/2023 , 06:30:00,197,14
19,30/05/2023 , 06:35:00,212,15.1
20,30/05/2023 , 06:40:00,233,16.6
21,30/05/2023 , 06:45:00,248,17.7
22,30/05/2023 , 06:50:00,262,18.7
23,30/05/2023 , 06:55:00,274,19.5
24,30/05/2023 , 07:00:00,293,20.9
25,30/05/2023 , 07:05:00,308,21.9
26,30/05/2023 , 07:10:00,322,22.9
27,30/05/2023 , 07:15:00,331,23.6
28,30/05/2023 , 07:20:00,340,24.2
29,30/05/2023 , 07:25:00,346,24.6
30,30/05/2023 , 07:30:00,355,25.3
31,30/05/2023 , 07:35:00,368,26.2
32,30/05/2023 , 07:40:00,377,26.8
33,30/05/2023 , 07:45:00,385,27.4
34,30/05/2023 , 07:50:00,397,28.3
35,30/05/2023 , 07:55:00,406,28.9
36,30/05/2023 , 08:00:00,418,29.8
37,30/05/2023 , 08:05:00,426,30.3
38,30/05/2023 , 08:10:00,416,29.6
39,30/05/2023 , 08:15:00,408,29
40,30/05/2023 , 08:20:00,447,31.8
41,30/05/2023 , 08:25:00,460,32.8
42,30/05/2023 , 08:30:00,473,33.7
43,30/05/2023 , 08:35:00,487,34.7
44,30/05/2023 , 08:40:00,494,35.2
45,30/05/2023 , 08:45:00,507,36.1
46,30/05/2023 , 08:50:00,520,37
47,30/05/2023 , 08:55:00,531,37.8
48,30/05/2023 , 09:00:00,546,38.9
49,30/05/2023 , 09:05:00,560,39.9
50,30/05/2023 , 09:10:00,572,40.7
51,30/05/2023 , 09:15:00,586,41.7
52,30/05/2023 , 09:20:00,596,42.4
53,30/05/2023 , 09:25:00,614,43.7
54,30/05/2023 , 09:30:00,626,44.6
55,30/05/2023 , 09:35:00,643,45.8
56,30/05/2023 , 09:40:00,663,47.2
57,30/05/2023 , 09:45:00,681,48.5
58,30/05/2023 , 09:50:00,682,48.6
59,30/05/2023 , 09:55:00,936,66.6
60,30/05/2023 , 10:00:00,4686,333.6
61,30/05/2023 , 10:05:00,2255,160.5
62,30/05/2023 , 10:10:00,786,56
63,30/05/2023 , 10:15:00,3463,246.6
64,30/05/2023 , 10:20:00,5455,388.4
65,30/05/2023 , 10:25:00,5558,395.7
66,30/05/2023 , 10:30:00,5707,406.3
67,30/05/2023 , 10:35:00,5788,412.1
68,30/05/2023 , 10:40:00,5922,421.6
69,30/05/2023 , 10:45:00,5924,421.8
70,30/05/2023 , 10:50:00,6103,434.5
71,30/05/2023 , 10:55:00,6239,444.2
72,30/05/2023 , 11:00:00,6296,448.3
73,30/05/2023 , 11:05:00,5356,381.3
74,30/05/2023 , 11:10:00,4072,289.9
75,30/05/2023 , 11:15:00,4035,287.3
76,30/05/2023 , 11:20:00,3707,263.9
77,30/05/2023 , 11:25:00,3190,227.1
78,30/05/2023 , 11:30:00,4468,318.1
79,30/05/2023 , 11:35:00,4009,285.4
80,30/05/2023 , 11:40:00,5278,375.8
81,30/05/2023 , 11:45:00,7626,542.9
82,30/05/2023 , 11:50:00,7170,510.5
83,30/05/2023 , 11:55:00,5656,402.7
84,30/05/2023 , 12:00:00,7589,540.3
85,30/05/2023 , 12:05:00,7533,536.3
86,30/05/2023 , 12:10:00,7592,540.5
87,30/05/2023 , 12:15:00,6778,482.6
88,30/05/2023 , 12:20:00,7261,517
89,30/05/2023 , 12:25:00,7239,515.4
90,30/05/2023 , 12:30:00,7251,516.2
91,30/05/2023 , 12:35:00,7294,519.3
92,30/05/2023 , 12:40:00,7306,520.2
93,30/05/2023 , 12:45:00,7266,517.3
94,30/05/2023 , 12:50:00,7344,522.9
95,30/05/2023 , 12:55:00,7601,541.2
96,30/05/2023 , 13:00:00,7685,547.1
97,30/05/2023 , 13:05:00,7027,500.3
98,30/05/2023 , 13:10:00,7315,520.8
99,30/05/2023 , 13:15:00,7219,514
100,30/05/2023 , 13:20:00,7247,516
101,30/05/2023 , 13:25:00,7316,520.9
