Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1685503320,+3.53,+18.671, +8.916,+0.967
1685503380,+3.53,+18.856, +8.883,+0.967
1685503440,+3.53,+18.974, +8.867,+0.967
1685503500,+3.54,+19.033, +8.862,+0.967
1685503560,+3.54,+19.050, +8.855,+0.967
1685503620,+3.53,+19.050, +8.861,+0.967
1685503680,+3.53,+19.016, +8.867,+0.967
1685503740,+3.53,+18.999, +8.868,+0.967
1685503800,+3.53,+18.966, +8.878,+0.967
1685503860,+3.53,+18.940, +8.890,+0.967
1685503920,+3.53,+18.907, +8.891,+0.967
1685503980,+3.53,+18.882, +8.904,+0.968
1685504040,+3.53,+18.856, +8.903,+0.967
1685504100,+3.53,+18.823, +8.913,+0.968
1685504160,+3.53,+18.739, +8.903,+0.967
1685504220,+3.53,+18.663, +8.923,+0.967
1685504280,+3.53,+18.638, +8.927,+0.967
1685504340,+3.53,+18.604, +8.932,+0.967
1685504400,+3.53,+18.596, +8.930,+0.967
1685504460,+3.53,+18.571, +8.931,+0.967
1685504520,+3.53,+18.621, +8.948,+0.966
1685504580,+3.53,+18.747, +8.908,+0.966
1685504640,+3.53,+18.898, +8.879,+0.966
1685504700,+3.53,+18.999, +8.861,+0.966
1685504760,+3.53,+19.050, +8.855,+0.966
1685504820,+3.53,+19.058, +8.860,+0.966
1685504880,+3.53,+19.058, +8.867,+0.967
1685504940,+3.53,+19.041, +8.871,+0.966
1685505000,+3.53,+19.024, +8.883,+0.967
1685505060,+3.53,+19.024, +8.875,+0.966
1685505120,+3.53,+19.016, +8.880,+0.967
1685505180,+3.53,+19.008, +8.889,+0.967
1685505240,+3.53,+18.991, +8.887,+0.966
1685505300,+3.53,+18.991, +8.890,+0.967
1685505360,+3.53,+18.974, +8.895,+0.967
1685505420,+3.53,+18.974, +9.242,+0.970
1685505480,+3.53,+19.704, +8.823,+0.968
1685505540,+3.53,+19.955, +8.714,+0.967
1685505600,+3.53,+20.098, +8.661,+0.967
1685505660,+3.53,+20.198, +8.630,+0.967
1685505720,+3.53,+20.257, +8.610,+0.967
1685505780,+3.53,+20.324, +8.585,+0.966
1685505840,+3.53,+20.374, +8.574,+0.967
1685505900,+3.53,+20.407, +8.555,+0.966
1685505960,+3.53,+20.449, +8.549,+0.967
1685506020,+3.53,+20.432, +8.547,+0.966
1685506080,+3.53,+20.474, +8.525,+0.966
1685506140,+3.53,+20.491, +8.523,+0.967
1685506200,+3.53,+20.483, +8.512,+0.966
1685506260,+3.53,+20.524, +8.504,+0.966
1685506320,+3.53,+20.508, +8.500,+0.967
1685506380,+3.53,+20.508, +8.491,+0.966
1685506440,+3.53,+20.508, +8.482,+0.966
1685506500,+3.53,+20.508, +8.475,+0.966
1685506560,+3.53,+20.483, +8.474,+0.966
1685506620,+3.53,+20.499, +8.467,+0.966
1685506680,+3.53,+20.516, +8.485,+0.967
1685506740,+3.53,+20.566, +8.474,+0.967
1685506800,+3.53,+20.616, +8.470,+0.967
1685506860,+3.53,+20.658, +8.459,+0.967
1685506920,+3.53,+20.667, +8.456,+0.966
1685506980,+3.52,+20.700, +8.440,+0.966
1685507040,+3.52,+20.784, +8.468,+0.967
1685507100,+3.52,+20.817, +8.497,+0.967
1685507160,+3.52,+20.876, +8.517,+0.967
1685507220,+3.52,+20.934, +8.531,+0.966
1685507280,+3.52,+20.926, +8.545,+0.967
1685507340,+3.52,+20.943, +8.553,+0.967
1685507400,+3.52,+20.968, +8.555,+0.967
1685507460,+3.52,+20.984, +8.547,+0.967
1685507520,+3.52,+20.968, +8.554,+0.967
1685507580,+3.52,+20.984, +8.548,+0.967
1685507640,+3.52,+21.001, +8.538,+0.967
1685507700,+3.52,+21.001, +8.530,+0.967
1685507760,+3.52,+21.010, +8.525,+0.967
1685507820,+3.52,+21.018, +8.515,+0.967
1685507880,+3.52,+21.035, +8.503,+0.967
1685507940,+3.52,+21.035, +8.491,+0.967
1685508000,+3.52,+21.043, +8.487,+0.967
1685508060,+3.52,+21.060, +8.471,+0.967
1685508120,+3.52,+21.068, +8.469,+0.967
1685508180,+3.52,+21.076, +8.466,+0.967
1685508240,+3.52,+21.093, +8.457,+0.967
1685508300,+3.52,+21.102, +8.455,+0.967
1685508360,+3.52,+21.110, +8.452,+0.967
1685508420,+3.52,+21.127, +8.444,+0.967
1685508480,+3.52,+21.127, +8.450,+0.967
1685508540,+3.52,+21.135, +8.452,+0.967
1685508600,+3.52,+21.143, +8.435,+0.966
1685508660,+3.52,+21.160, +8.432,+0.967
1685508720,+3.53,+21.152, +8.444,+0.967
1685508780,+3.52,+21.168, +8.433,+0.967
1685508840,+3.53,+21.177, +8.436,+0.967
1685508900,+3.52,+21.160, +8.433,+0.967
1685508960,+3.52,+21.194, +8.431,+0.967
1685509020,+3.53,+21.194, +8.429,+0.967
1685509080,+3.53,+21.185, +8.423,+0.966
1685509140,+3.53,+21.219, +8.423,+0.967
1685509200,+3.53,+21.202, +8.423,+0.967
1685509260,+3.52,+21.210, +8.422,+0.967
1685509320,+3.53,+21.219, +8.417,+0.967
1685509380,+3.52,+21.227, +8.413,+0.967
1685509440,+3.52,+21.219, +8.417,+0.967
1685509500,+3.52,+21.244, +8.419,+0.967
1685509560,+3.52,+21.235, +8.408,+0.966
1685509620,+3.52,+21.244, +8.411,+0.967
1685509680,+3.52,+21.235, +8.415,+0.967
1685509740,+3.52,+21.252, +8.411,+0.967
1685509800,+3.52,+21.252, +8.413,+0.967
1685509860,+3.52,+21.260, +8.408,+0.967
1685509920,+3.52,+21.269, +8.400,+0.967
1685509980,+3.52,+21.294, +8.401,+0.967
1685510040,+3.52,+21.260, +8.400,+0.966
1685510100,+3.52,+21.277, +8.400,+0.967
1685510160,+3.52,+21.260, +8.410,+0.967
1685510220,+3.52,+21.260, +8.407,+0.967
1685510280,+3.52,+21.269, +8.420,+0.967
1685510340,+3.52,+21.277, +8.417,+0.967
1685510400,+3.52,+21.285, +8.411,+0.967
1685510460,+3.52,+21.294, +8.401,+0.966
1685510520,+3.52,+21.285, +8.400,+0.967
1685510580,+3.52,+21.277, +8.486,+0.967
1685510640,+3.52,+21.302, +8.497,+0.967
1685510700,+3.52,+21.294, +8.506,+0.967
1685510760,+3.52,+21.302, +8.514,+0.967
1685510820,+3.52,+21.302, +8.512,+0.967
1685510880,+3.52,+21.302, +8.509,+0.967
1685510940,+3.52,+21.311, +8.507,+0.967
1685511000,+3.52,+21.311, +8.514,+0.967
1685511060,+3.52,+21.319, +8.500,+0.967
1685511120,+3.52,+21.311, +8.507,+0.967
1685511180,+3.52,+21.319, +8.511,+0.967
1685511240,+3.52,+21.327, +8.513,+0.968
1685511300,+3.52,+21.319, +8.502,+0.967
1685511360,+3.52,+21.319, +8.504,+0.967
1685511420,+3.52,+21.319, +8.513,+0.967
1685511480,+3.52,+21.319, +8.509,+0.967
1685511540,+3.52,+21.336, +8.499,+0.967
1685511600,+3.52,+21.344, +8.498,+0.967
1685511660,+3.52,+21.352, +8.502,+0.967
1685511720,+3.52,+21.361, +8.498,+0.967
1685511780,+3.52,+21.369, +8.492,+0.967
1685511840,+3.52,+21.227, +8.533,+0.967
1685511900,+3.52,+21.068, +8.323,+0.965
1685511960,+3.52,+20.608, +8.312,+0.965
1685512020,+3.52,+20.382, +8.280,+0.965
1685512080,+3.52,+20.206, +8.263,+0.966
1685512140,+3.52,+20.056, +8.248,+0.966
1685512200,+3.52,+19.955, +8.236,+0.966
1685512260,+3.52,+19.888, +8.225,+0.966
1685512320,+3.52,+19.846, +8.194,+0.965
1685512380,+3.52,+19.804, +8.765,+0.966
1685512440,+3.52,+19.796, +8.776,+0.967
1685512500,+3.52,+19.821, +8.777,+0.967
1685512560,+3.52,+19.855, +8.766,+0.966
1685512620,+3.52,+19.888, +8.766,+0.966
1685512680,+3.52,+19.888, +8.763,+0.967
1685512740,+3.52,+19.913, +8.761,+0.967
1685512800,+3.52,+19.913, +8.762,+0.967
1685512860,+3.52,+19.947, +8.763,+0.967
1685512920,+3.52,+19.964, +8.749,+0.967
1685512980,+3.52,+19.989, +8.753,+0.967
1685513040,+3.52,+19.955, +8.757,+0.967
1685513100,+3.52,+19.989, +8.748,+0.966
1685513160,+3.52,+19.980, +8.742,+0.966
1685513220,+3.52,+20.014, +8.746,+0.967
1685513280,+3.52,+20.014, +8.740,+0.967
1685513340,+3.52,+20.064, +8.726,+0.966
1685513400,+3.52,+20.081, +8.725,+0.966
1685513460,+3.52,+20.098, +8.718,+0.966
1685513520,+3.52,+20.089, +8.729,+0.966
1685513580,+3.52,+20.131, +8.722,+0.966
