7450-478618
OS REV: 1.05 Sensor Cal: 1669221799
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1685456460,+3.47,+28.028, +7.615,+0.963
1685456520,+3.47,+27.942, +7.645,+0.964
1685456580,+3.47,+27.951, +7.615,+0.962
1685456640,+3.47,+27.866, +7.609,+0.962
1685456700,+3.47,+27.806, +7.567,+0.962
1685456760,+3.47,+27.746, +7.571,+0.963
1685456820,+3.47,+27.653, +7.575,+0.963
1685456880,+3.47,+27.568, +7.589,+0.963
1685456940,+3.47,+27.483, +7.590,+0.963
1685457000,+3.47,+27.440, +7.588,+0.963
1685457060,+3.47,+27.355, +7.606,+0.963
1685457120,+3.47,+27.296, +7.603,+0.963
1685457180,+3.47,+27.245, +7.600,+0.963
1685457240,+3.47,+27.202, +7.601,+0.963
1685457300,+3.47,+27.177, +7.604,+0.963
1685457360,+3.47,+27.134, +7.609,+0.963
1685457420,+3.47,+27.109, +7.602,+0.962
1685457480,+3.47,+27.050, +7.619,+0.963
1685457540,+3.47,+27.024, +7.615,+0.963
1685457600,+3.47,+26.973, +7.624,+0.963
1685457660,+3.47,+26.965, +7.621,+0.963
1685457720,+3.47,+26.939, +7.633,+0.964
1685457780,+3.47,+26.922, +7.628,+0.963
1685457840,+3.47,+26.880, +7.632,+0.963
1685457900,+3.47,+26.863, +7.636,+0.963
1685457960,+3.47,+26.838, +7.634,+0.963
1685458020,+3.47,+26.804, +7.639,+0.963
1685458080,+3.47,+26.778, +7.645,+0.963
1685458140,+3.47,+26.770, +7.650,+0.963
1685458200,+3.47,+26.727, +7.649,+0.963
1685458260,+3.47,+26.719, +7.651,+0.963
1685458320,+3.47,+26.702, +7.653,+0.963
1685458380,+3.47,+26.685, +7.650,+0.963
1685458440,+3.47,+26.651, +7.660,+0.963
1685458500,+3.48,+26.643, +7.657,+0.963
1685458560,+3.47,+26.600, +7.672,+0.964
1685458620,+3.48,+26.592, +7.670,+0.963
1685458680,+3.47,+26.550, +7.674,+0.963
1685458740,+3.47,+26.541, +7.678,+0.963
1685458800,+3.47,+26.524, +7.674,+0.963
1685458860,+3.47,+26.490, +7.733,+0.963
1685458920,+3.47,+26.473, +7.693,+0.963
1685458980,+3.47,+26.473, +7.684,+0.964
1685459040,+3.48,+25.671, +8.284,+0.962
1685459100,+3.47,+25.376, +8.649,+0.963
1685459160,+3.47,+25.191, +8.815,+0.964
1685459220,+3.47,+25.039, +8.857,+0.964
1685459280,+3.47,+24.963, +8.890,+0.964
1685459340,+3.48,+24.854, +8.913,+0.964
1685459400,+3.48,+24.762, +8.922,+0.965
1685459460,+3.48,+24.509, +8.849,+0.963
1685459520,+3.47,+24.258, +8.970,+0.964
1685459580,+3.48,+23.922, +9.221,+0.966
1685459640,+3.47,+24.039, +9.248,+0.966
1685459700,+3.47,+24.098, +9.122,+0.965
1685459760,+3.48,+23.830, +9.226,+0.964
1685459820,+3.48,+23.687, +9.392,+0.964
1685459880,+3.48,+23.628, +9.514,+0.965
1685459940,+3.48,+23.586, +9.615,+0.964
1685460000,+3.48,+23.561, +9.671,+0.965
1685460060,+3.48,+23.503, +9.714,+0.965
1685460120,+3.48,+23.452, +9.759,+0.965
1685460180,+3.48,+23.419, +9.793,+0.966
1685460240,+3.48,+23.369, +9.848,+0.965
1685460300,+3.48,+23.377, +9.903,+0.965
1685460360,+3.48,+23.369, +9.989,+0.966
1685460420,+3.48,+23.360,+10.080,+0.966
1685460480,+3.48,+23.335,+10.145,+0.966
1685460540,+3.48,+23.327,+10.199,+0.966
1685460600,+3.48,+23.327,+10.237,+0.966
1685460660,+3.48,+23.327,+10.276,+0.966
1685460720,+3.48,+23.293,+10.311,+0.966
1685460780,+3.48,+23.318,+10.309,+0.966
1685460840,+3.48,+23.318,+10.282,+0.966
1685460900,+3.48,+23.335,+10.251,+0.966
1685460960,+3.48,+23.343,+10.224,+0.966
1685461020,+3.48,+23.327,+10.206,+0.966
1685461080,+3.48,+23.343,+10.170,+0.966
1685461140,+3.48,+23.335,+10.156,+0.966
1685461200,+3.48,+23.352,+10.132,+0.966
1685461260,+3.48,+23.352,+10.103,+0.965
1685461320,+3.48,+23.352,+10.089,+0.966
1685461380,+3.48,+23.352,+10.056,+0.966
1685461440,+3.48,+23.343,+10.021,+0.966
1685461500,+3.48,+23.343, +9.966,+0.966
1685461560,+3.48,+23.343, +9.919,+0.966
1685461620,+3.48,+23.335, +9.857,+0.966
1685461680,+3.48,+23.343, +9.825,+0.966
1685461740,+3.48,+23.343, +9.775,+0.965
1685461800,+3.48,+23.343, +9.753,+0.966
1685461860,+3.48,+23.327, +9.735,+0.965
1685461920,+3.48,+23.327, +9.723,+0.965
1685461980,+3.48,+23.327, +9.710,+0.965
1685462040,+3.48,+23.318, +9.718,+0.965
1685462100,+3.48,+23.335, +9.722,+0.966
1685462160,+3.48,+23.335, +9.736,+0.966
1685462220,+3.48,+23.318, +9.732,+0.965
1685462280,+3.48,+23.343, +9.723,+0.965
1685462340,+3.48,+23.327, +9.716,+0.964
1685462400,+3.48,+23.318, +9.736,+0.965
1685462460,+3.48,+23.327, +9.735,+0.965
1685462520,+3.48,+23.318, +9.743,+0.966
1685462580,+3.48,+23.327, +9.740,+0.966
1685462640,+3.48,+23.310, +9.740,+0.965
1685462700,+3.48,+23.310, +9.734,+0.965
1685462760,+3.48,+23.302, +9.729,+0.965
1685462820,+3.48,+23.310, +9.727,+0.966
1685462880,+3.48,+23.302, +9.718,+0.965
1685462940,+3.48,+23.285, +9.709,+0.965
1685463000,+3.48,+23.302, +9.689,+0.965
1685463060,+3.48,+23.276, +9.695,+0.965
1685463120,+3.48,+23.285, +9.685,+0.965
1685463180,+3.48,+23.276, +9.675,+0.965
1685463240,+3.47,+23.218, +9.597,+0.965
1685463300,+3.47,+23.159, +9.775,+0.965
1685463360,+3.47,+23.109, +9.844,+0.965
