Date / Time;11/05/2023 15:59;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE4c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-33.8;NaN;0;22.9;NaN;NaN
1.5;203.3;NaN;61;22.3;1.5;237.1
1.525;206.5;NaN;277;21.2;0.025;3.2
1.55;209.4;NaN;297;21.2;0.025;2.9
1.575;212.1;NaN;312;21.1;0.025;2.7
1.6;214.7;97.37;329;21.1;0.025;2.6
1.625;216.9;87.01;345;21.1;0.025;2.2
1.65;219;80.1;360;21;0.025;2.1
1.675;220.9;73.87;375;21;0.025;1.9
1.7;222.7;68.6;397;21;0.025;1.8
1.725;224.3;64.96;412;20.9;0.025;1.6
1.75;226;61.14;427;20.9;0.025;1.7
1.775;227.4;NaN;442;20.9;0.025;1.4
1.8;228.8;NaN;458;20.9;0.025;1.4
1.825;230.2;NaN;473;20.9;0.025;1.4
1.85;231.4;NaN;488;20.8;0.025;1.2
1.875;232.6;NaN;504;20.8;0.025;1.2
