Date / Time;11/05/2023 16:09;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE5a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-47.8;NaN;0;21.4;NaN;NaN
1.5;204.1;NaN;67;21.2;1.5;251.9
1.525;207.3;NaN;283;20.8;0.025;3.2
1.55;210;NaN;298;20.8;0.025;2.7
1.575;212.7;NaN;313;20.8;0.025;2.7
1.6;215.3;95.01;332;20.8;0.025;2.6
1.625;217.4;84.78;350;20.8;0.025;2.1
1.65;219.4;78.35;368;20.8;0.025;2
1.675;221.3;72.02;383;20.7;0.025;1.9
1.7;223;67.4;398;20.7;0.025;1.7
1.725;224.7;64.4;413;20.7;0.025;1.7
1.75;226.3;60.97;429;20.7;0.025;1.6
1.775;227.7;NaN;444;20.7;0.025;1.4
1.8;229.1;NaN;459;20.7;0.025;1.4
1.825;230.5;NaN;474;20.7;0.025;1.4
1.85;231.7;NaN;489;20.7;0.025;1.2
1.875;232.8;NaN;504;20.7;0.025;1.1
