Date / Time;12/05/2023 13:51;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-54.4;NaN;0;22;NaN;NaN
1.5;212.1;NaN;47;21.7;1.5;266.5
1.525;214.7;NaN;263;20.9;0.025;2.6
1.55;217.2;NaN;278;20.9;0.025;2.5
1.575;219.4;NaN;293;20.8;0.025;2.2
1.6;221.6;82.65;310;20.8;0.025;2.2
1.625;223.5;75.29;325;20.8;0.025;1.9
1.65;225.3;69.88;340;20.8;0.025;1.8
1.675;227;NaN;356;20.8;0.025;1.7
1.7;228.6;NaN;371;20.7;0.025;1.6
1.725;230.1;NaN;386;20.7;0.025;1.5
1.75;231.5;NaN;401;20.7;0.025;1.4
1.775;232.9;NaN;416;20.7;0.025;1.4
