Date / Time;12/05/2023 12:05;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE3c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-72.3;NaN;0;22;NaN;NaN
1.5;213.2;NaN;46;21.7;1.5;285.5
1.525;215.9;NaN;262;20.9;0.025;2.7
1.55;218.2;NaN;277;20.8;0.025;2.3
1.575;220.4;NaN;292;20.8;0.025;2.2
1.6;222.3;78.27;307;20.8;0.025;1.9
1.625;224.1;69.87;322;20.8;0.025;1.8
1.65;225.9;65.7;337;20.7;0.025;1.8
1.675;227.4;NaN;353;20.7;0.025;1.5
1.7;228.9;NaN;368;20.7;0.025;1.5
1.725;230.4;NaN;383;20.7;0.025;1.5
1.75;231.7;NaN;398;20.7;0.025;1.3
1.775;233;NaN;413;20.7;0.025;1.3
