Date / Time;12/05/2023 15:12;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-58.7;NaN;0;20.9;NaN;NaN
1.5;193.6;NaN;51;20.8;1.5;252.3
1.525;199.1;NaN;269;20.6;0.025;5.5
1.55;203.3;NaN;284;20.6;0.025;4.2
1.575;206.9;NaN;299;20.6;0.025;3.6
1.6;210.1;131.35;314;20.6;0.025;3.2
1.625;213.1;107.16;330;20.6;0.025;3
1.65;215.5;98.24;345;20.6;0.025;2.4
1.675;218;89.8;360;20.6;0.025;2.5
1.7;220.1;82.59;375;20.6;0.025;2.1
1.725;222.1;76.39;390;20.6;0.025;2
1.75;223.9;71.98;406;20.6;0.025;1.8
1.775;225.7;66.68;421;20.6;0.025;1.8
1.8;227.3;NaN;436;20.6;0.025;1.6
1.825;228.8;NaN;451;20.6;0.025;1.5
1.85;230.3;NaN;466;20.6;0.025;1.5
1.875;231.5;NaN;481;20.6;0.025;1.2
1.9;232.8;NaN;496;20.6;0.025;1.3
