Date / Time;12/05/2023 17:37;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-56.1;NaN;0;20.9;NaN;NaN
1.5;202.4;NaN;50;21;1.5;258.5
1.525;206.1;NaN;266;20.7;0.025;3.7
1.55;209.6;NaN;287;20.7;0.025;3.5
1.575;212.3;NaN;303;20.7;0.025;2.7
1.6;215.1;106.29;318;20.7;0.025;2.8
1.625;217.5;92.32;333;20.7;0.025;2.4
1.65;219.7;84.97;349;20.7;0.025;2.2
1.675;221.8;79.52;364;20.7;0.025;2.1
1.7;223.6;73.24;379;20.7;0.025;1.8
1.725;225.5;68.73;396;20.7;0.025;1.9
1.75;227.1;NaN;411;20.7;0.025;1.6
1.775;228.7;NaN;426;20.7;0.025;1.6
1.8;230.1;NaN;441;20.7;0.025;1.4
1.825;231.5;NaN;457;20.7;0.025;1.4
1.85;232.8;NaN;472;20.7;0.025;1.3
