Date / Time;12/05/2023 16:12;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-19.5;NaN;0;21.6;NaN;NaN
1.5;221.1;NaN;43;21.4;1.5;240.6
1.525;223.1;NaN;259;20.9;0.025;2
1.55;224.8;NaN;274;20.9;0.025;1.7
1.575;226.5;NaN;289;20.8;0.025;1.7
1.6;228;NaN;304;20.8;0.025;1.5
1.625;229.6;NaN;319;20.8;0.025;1.6
1.65;231;NaN;334;20.8;0.025;1.4
1.675;232.3;NaN;350;20.8;0.025;1.3
