Date / Time;13/05/2023 14:25;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE1d;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-28;NaN;0;21.1;NaN;NaN
1.5;216.7;NaN;55;21;1.5;244.7
1.525;218.9;NaN;271;20.7;0.025;2.2
1.55;220.9;NaN;286;20.7;0.025;2
1.575;222.6;NaN;301;20.6;0.025;1.7
1.6;224.3;66.97;316;20.6;0.025;1.7
1.625;226;60.88;331;20.6;0.025;1.7
1.65;227.4;NaN;346;20.6;0.025;1.4
1.675;228.8;NaN;362;20.6;0.025;1.4
1.7;230.1;NaN;377;20.6;0.025;1.3
1.725;231.5;NaN;392;20.6;0.025;1.4
1.75;232.7;NaN;407;20.6;0.025;1.2
