Date / Time;24/05/2023 15:43;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;10;NaN;0;20.1;NaN;NaN
1.5;201.1;NaN;39;19.9;1.5;191.1
1.525;204.5;NaN;255;19.1;0.025;3.4
1.55;207.6;NaN;270;19.1;0.025;3.1
1.575;210.3;NaN;285;19.1;0.025;2.7
1.6;212.6;97.77;300;19;0.025;2.3
1.625;214.9;85.23;315;19;0.025;2.3
1.65;217;79.39;330;19;0.025;2.1
1.675;218.8;74.04;346;19;0.025;1.8
1.7;220.7;69.42;361;18.9;0.025;1.9
1.725;222.4;64.27;376;18.9;0.025;1.7
1.75;223.9;60.27;391;18.9;0.025;1.5
1.775;225.3;56.8;406;18.9;0.025;1.4
1.8;226.8;53.3;421;18.9;0.025;1.5
1.825;228;NaN;437;18.9;0.025;1.2
1.85;229.3;NaN;452;18.9;0.025;1.3
1.875;230.5;NaN;467;18.8;0.025;1.2
1.9;231.6;NaN;482;18.8;0.025;1.1
1.925;232.7;NaN;497;18.8;0.025;1.1
