Date / Time;25/05/2023 15:41;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-27.8;NaN;0;19.2;NaN;NaN
1.5;214.1;NaN;58;19.2;1.5;241.9
1.525;216.6;NaN;274;18.9;0.025;2.5
1.55;218.7;NaN;289;18.9;0.025;2.1
1.575;220.6;NaN;304;18.9;0.025;1.9
1.6;222.4;71.46;319;18.9;0.025;1.8
1.625;224.1;63.8;335;18.9;0.025;1.7
1.65;225.6;60.5;350;18.9;0.025;1.5
1.675;227.1;NaN;365;18.9;0.025;1.5
1.7;228.5;NaN;380;18.9;0.025;1.4
1.725;229.8;NaN;395;18.9;0.025;1.3
1.75;231.1;NaN;410;18.9;0.025;1.3
1.775;232.3;NaN;426;18.8;0.025;1.2
