Date / Time;24/05/2023 17:32;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-54.9;NaN;0;18.7;NaN;NaN
1.5;212.2;NaN;42;18.8;1.5;267.1
1.525;215;NaN;259;18.8;0.025;2.8
1.55;217;NaN;274;18.8;0.025;2
1.575;219;NaN;289;18.8;0.025;2
1.6;220.9;73.05;304;18.8;0.025;1.9
1.625;222.5;64.31;319;18.8;0.025;1.6
1.65;224.1;61.37;334;18.8;0.025;1.6
1.675;225.6;57.29;350;18.8;0.025;1.5
1.7;227;NaN;365;18.8;0.025;1.4
1.725;228.3;NaN;380;18.8;0.025;1.3
1.75;229.6;NaN;395;18.8;0.025;1.3
1.775;230.8;NaN;410;18.8;0.025;1.2
1.8;232;NaN;426;18.8;0.025;1.2
