Date / Time;24/05/2023 19:43;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE4b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-35.8;NaN;0;19;NaN;NaN
1.5;216;NaN;46;19;1.5;251.8
1.525;218.4;NaN;263;18.9;0.025;2.4
1.55;220.3;NaN;278;18.9;0.025;1.9
1.575;222;NaN;293;18.9;0.025;1.7
1.6;223.7;65.88;308;18.9;0.025;1.7
1.625;225.2;58.78;323;18.8;0.025;1.5
1.65;226.6;56.74;338;18.8;0.025;1.4
1.675;228;NaN;354;18.8;0.025;1.4
1.7;229.4;NaN;369;18.8;0.025;1.4
1.725;230.6;NaN;384;18.8;0.025;1.2
1.75;231.8;NaN;399;18.8;0.025;1.2
1.775;232.9;NaN;414;18.8;0.025;1.1
