Date / Time;25/05/2023 14:43;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6A;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-20.9;NaN;0;19.3;NaN;NaN
1.5;208;NaN;82;19.2;1.5;228.9
1.525;211.2;NaN;298;18.9;0.025;3.2
1.55;213.5;NaN;313;18.9;0.025;2.3
1.575;215.7;NaN;329;18.9;0.025;2.2
1.6;217.7;81.67;344;18.9;0.025;2
1.625;219.6;71.28;359;18.9;0.025;1.9
1.65;221.3;68.32;375;18.9;0.025;1.7
1.675;223;64.17;390;18.9;0.025;1.7
1.7;224.6;60.1;405;18.9;0.025;1.6
1.725;226;56.73;420;18.9;0.025;1.4
1.75;227.4;NaN;436;18.9;0.025;1.4
1.775;228.7;NaN;451;18.8;0.025;1.3
1.8;229.9;NaN;466;18.8;0.025;1.2
1.825;231.2;NaN;481;18.8;0.025;1.3
1.85;232.3;NaN;496;18.8;0.025;1.1
