Date / Time;25/05/2023 15:31;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6C;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-29.5;NaN;0;19.8;NaN;NaN
1.5;211.5;NaN;76;19.5;1.5;241
1.525;214.1;NaN;292;19.1;0.025;2.6
1.55;216.3;NaN;309;19;0.025;2.2
1.575;218.4;NaN;324;19;0.025;2.1
1.6;220.2;75.45;341;19;0.025;1.8
1.625;222;67.88;356;19;0.025;1.8
1.65;223.6;64.1;372;19;0.025;1.6
1.675;225.2;60.56;387;19;0.025;1.6
1.7;226.7;56.97;402;19;0.025;1.5
1.725;228.1;NaN;417;19;0.025;1.4
1.75;229.3;NaN;433;18.9;0.025;1.2
1.775;230.6;NaN;448;18.9;0.025;1.3
1.8;231.7;NaN;463;18.9;0.025;1.1
1.825;232.9;NaN;478;18.9;0.025;1.2
