Date / Time;26/05/2023 13:07;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2c;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-48.9;NaN;0;20.4;NaN;NaN
1.500;213.4;NaN;59;20.0;1.500;262.3
1.525;215.5;NaN;275;19.2;0.025;2.1
1.550;217.7;NaN;292;19.2;0.025;2.2
1.575;219.8;NaN;307;19.2;0.025;2.1
1.600;221.5;72.60;322;19.1;0.025;1.7
1.625;223.3;67.03;337;19.1;0.025;1.8
1.650;224.9;62.27;353;19.1;0.025;1.6
1.675;226.4;59.07;368;19.1;0.025;1.5
1.700;227.8;NaN;383;19.1;0.025;1.4
1.725;229.3;NaN;398;19.0;0.025;1.5
1.750;230.5;NaN;413;19.0;0.025;1.2
1.775;231.8;NaN;428;19.0;0.025;1.3
1.800;233.0;NaN;444;19.0;0.025;1.2
