Date / Time;26/05/2023 09:50;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM1;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-38.7;NaN;0;19.1;NaN;NaN
1.300;201.1;NaN;60;19.1;1.300;239.8
1.325;204.6;NaN;278;18.9;0.025;3.5
1.350;207.7;NaN;293;18.9;0.025;3.1
1.375;210.5;NaN;308;18.8;0.025;2.8
1.400;212.9;99.88;323;18.8;0.025;2.4
1.425;215.3;87.24;338;18.8;0.025;2.4
1.450;217.4;80.37;354;18.8;0.025;2.1
1.475;219.2;74.44;369;18.8;0.025;1.8
1.500;221.1;69.59;384;18.8;0.025;1.9
1.525;222.8;64.43;399;18.8;0.025;1.7
1.550;224.3;60.27;414;18.8;0.025;1.5
1.575;225.8;57.03;430;18.8;0.025;1.5
1.600;227.2;NaN;445;18.8;0.025;1.4
1.625;228.4;NaN;460;18.8;0.025;1.2
1.650;229.7;NaN;475;18.8;0.025;1.3
1.675;231.0;NaN;490;18.8;0.025;1.3
1.700;232.0;NaN;505;18.8;0.025;1.0
