Date / Time;25/05/2023 19:47;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE2c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-50.5;NaN;0;20.6;NaN;NaN
1.5;208.6;NaN;56;20.2;1.5;259.1
1.525;211.3;NaN;272;19.4;0.025;2.7
1.55;213.6;NaN;287;19.3;0.025;2.3
1.575;215.8;NaN;302;19.3;0.025;2.2
1.6;217.9;80.03;317;19.3;0.025;2.1
1.625;219.7;72.03;332;19.2;0.025;1.8
1.65;221.5;67.78;347;19.2;0.025;1.8
1.675;223.1;63.07;363;19.2;0.025;1.6
1.7;224.6;59.3;378;19.1;0.025;1.5
1.725;226.1;56.63;393;19.1;0.025;1.5
1.75;227.5;NaN;408;19.1;0.025;1.4
1.775;228.7;NaN;423;19.1;0.025;1.2
1.8;230;NaN;438;19.1;0.025;1.3
1.825;231.2;NaN;454;19.1;0.025;1.2
1.85;232.2;NaN;469;19;0.025;1
