Date / Time;11/05/2023 11:23;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM3;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-34;NaN;0;22.1;NaN;NaN
1.3;204.1;NaN;95;21.6;1.3;238.1
1.325;207.2;NaN;311;20.9;0.025;3.1
1.35;209.9;NaN;326;20.9;0.025;2.7
1.375;212.2;NaN;344;20.9;0.025;2.3
1.4;214.4;87.82;359;20.8;0.025;2.2
1.425;216.5;77.8;374;20.8;0.025;2.1
1.45;218.3;72.84;390;20.8;0.025;1.8
1.475;220.1;67.93;410;20.8;0.025;1.8
1.5;221.8;63.75;425;20.8;0.025;1.7
1.525;223.3;59.66;440;20.7;0.025;1.5
1.55;224.7;56.55;456;20.7;0.025;1.4
1.575;226.1;53.6;471;20.7;0.025;1.4
1.6;227.5;NaN;486;20.7;0.025;1.4
1.625;228.6;NaN;501;20.7;0.025;1.1
1.65;229.9;NaN;516;20.7;0.025;1.3
1.675;231;NaN;531;20.7;0.025;1.1
1.7;232;NaN;546;20.6;0.025;1
