Date / Time;11/05/2023 16:45;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-41.5;NaN;0;22.1;NaN;NaN
1.5;208;NaN;58;21.8;1.5;249.5
1.525;210.5;NaN;275;21;0.025;2.5
1.55;213;NaN;290;21;0.025;2.5
1.575;215.5;NaN;305;21;0.025;2.5
1.6;217.8;85.84;320;21;0.025;2.3
1.625;219.7;79.15;338;20.9;0.025;1.9
1.65;221.6;72.56;354;20.9;0.025;1.9
1.675;223.4;66.83;369;20.9;0.025;1.8
1.7;225;63.07;384;20.9;0.025;1.6
1.725;226.5;60.01;399;20.8;0.025;1.5
1.75;228;NaN;415;20.8;0.025;1.5
1.775;229.3;NaN;430;20.8;0.025;1.3
1.8;230.7;NaN;445;20.8;0.025;1.4
1.825;231.9;NaN;460;20.8;0.025;1.2
1.85;233;NaN;475;20.8;0.025;1.1
