Date / Time;12/05/2023 10:13;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM3;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-40.1;NaN;0;20.7;NaN;NaN
1.3;203.5;NaN;58;20.7;1.3;243.6
1.325;207.1;NaN;274;20.5;0.025;3.6
1.35;210;NaN;290;20.5;0.025;2.9
1.375;212.7;NaN;305;20.5;0.025;2.7
1.4;215.3;98.48;320;20.5;0.025;2.6
1.425;217.5;85.66;336;20.5;0.025;2.2
1.45;219.6;79.94;351;20.5;0.025;2.1
1.475;221.5;73.41;366;20.5;0.025;1.9
1.5;223.2;68.42;381;20.5;0.025;1.7
1.525;224.9;64.8;396;20.5;0.025;1.7
1.55;226.6;60.9;412;20.5;0.025;1.7
1.575;227.9;NaN;427;20.4;0.025;1.3
1.6;229.4;NaN;442;20.4;0.025;1.5
1.625;230.7;NaN;457;20.4;0.025;1.3
1.65;231.9;NaN;473;20.4;0.025;1.2
1.675;233.1;NaN;488;20.4;0.025;1.2
