Date / Time;12/05/2023 11:56;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE2d;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-58.3;NaN;0;21.9;NaN;NaN
1.5;211.1;NaN;46;21.6;1.5;269.4
1.525;213.9;NaN;262;20.9;0.025;2.8
1.55;216.3;NaN;277;20.8;0.025;2.4
1.575;218.6;NaN;292;20.8;0.025;2.3
1.6;220.7;82.36;307;20.8;0.025;2.1
1.625;222.6;73.64;322;20.8;0.025;1.9
1.65;224.4;68.9;337;20.7;0.025;1.8
1.675;226;64.5;353;20.7;0.025;1.6
1.7;227.6;NaN;368;20.7;0.025;1.6
1.725;229.1;NaN;383;20.7;0.025;1.5
1.75;230.5;NaN;398;20.7;0.025;1.4
1.775;231.8;NaN;413;20.7;0.025;1.3
1.8;233;NaN;428;20.6;0.025;1.2
