Date / Time;12/05/2023 12:44;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE4b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-65.3;NaN;0;21.3;NaN;NaN
1.5;208.8;NaN;45;21.2;1.5;274.1
1.525;212.1;NaN;261;20.8;0.025;3.3
1.55;214.5;NaN;276;20.8;0.025;2.4
1.575;216.9;NaN;291;20.7;0.025;2.4
1.6;219.2;87.08;306;20.7;0.025;2.3
1.625;221.1;76.47;321;20.7;0.025;1.9
1.65;223;72.41;336;20.7;0.025;1.9
1.675;224.8;67.06;352;20.7;0.025;1.8
1.7;226.3;NaN;367;20.7;0.025;1.5
1.725;227.9;NaN;382;20.7;0.025;1.6
1.75;229.4;NaN;397;20.7;0.025;1.5
1.775;230.7;NaN;412;20.7;0.025;1.3
1.8;232;NaN;428;20.7;0.025;1.3
