Date / Time;12/05/2023 15:21;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-56.7;NaN;0;21.1;NaN;NaN
1.5;204.2;NaN;42;21;1.5;260.9
1.525;208.4;NaN;258;20.7;0.025;4.2
1.55;211.6;NaN;273;20.7;0.025;3.2
1.575;214.3;NaN;288;20.7;0.025;2.7
1.6;216.9;103.02;303;20.6;0.025;2.6
1.625;219.2;86.1;318;20.6;0.025;2.3
1.65;221.3;80.77;333;20.6;0.025;2.1
1.675;223.2;75.3;349;20.6;0.025;1.9
1.7;225.1;70.27;364;20.6;0.025;1.9
1.725;226.7;NaN;379;20.6;0.025;1.6
1.75;228.4;NaN;394;20.6;0.025;1.7
1.775;229.9;NaN;409;20.6;0.025;1.5
1.8;231.3;NaN;424;20.6;0.025;1.4
1.825;232.6;NaN;440;20.6;0.025;1.3
