Date / Time;13/05/2023 14:14;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-56.8;NaN;0;22.1;NaN;NaN
1.5;209.5;NaN;43;21.8;1.5;266.3
1.525;212.8;NaN;259;20.9;0.025;3.3
1.55;215.4;NaN;274;20.9;0.025;2.6
1.575;217.8;NaN;289;20.9;0.025;2.4
1.6;220;87.26;304;20.8;0.025;2.2
1.625;221.9;75.46;319;20.8;0.025;1.9
1.65;223.7;71.05;334;20.8;0.025;1.8
1.675;225.5;66.95;350;20.8;0.025;1.8
1.7;227.2;NaN;365;20.7;0.025;1.7
1.725;228.6;NaN;380;20.7;0.025;1.4
1.75;230.1;NaN;395;20.7;0.025;1.5
1.775;231.5;NaN;410;20.7;0.025;1.4
1.8;232.7;NaN;425;20.7;0.025;1.2
