Date / Time;24/05/2023 17:11;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK2a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-45.8;NaN;0;20.4;NaN;NaN
1.5;212.5;NaN;44;20.1;1.5;258.3
1.525;214.9;NaN;260;19.3;0.025;2.4
1.55;217;NaN;275;19.2;0.025;2.1
1.575;219;NaN;290;19.2;0.025;2
1.6;220.9;73.3;305;19.2;0.025;1.9
1.625;222.6;66.84;320;19.1;0.025;1.7
1.65;224.2;63.19;336;19.1;0.025;1.6
1.675;225.8;59.14;351;19.1;0.025;1.6
1.7;227.2;NaN;366;19.1;0.025;1.4
1.725;228.5;NaN;381;19;0.025;1.3
1.75;229.9;NaN;396;19;0.025;1.4
1.775;231;NaN;411;19;0.025;1.1
1.8;232.2;NaN;426;19;0.025;1.2
