Date / Time;24/05/2023 19:34;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE4a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-35.9;NaN;0;18.2;NaN;NaN
1.5;208.8;NaN;45;18.4;1.5;244.7
1.525;211.7;NaN;261;18.6;0.025;2.9
1.55;214.1;NaN;276;18.6;0.025;2.4
1.575;216.2;NaN;291;18.6;0.025;2.1
1.6;218.2;79.56;306;18.7;0.025;2
1.625;220.1;69.72;322;18.7;0.025;1.9
1.65;221.7;65.47;337;18.7;0.025;1.6
1.675;223.4;61.54;352;18.7;0.025;1.7
1.7;224.8;57.86;367;18.7;0.025;1.4
1.725;226.2;55.14;382;18.7;0.025;1.4
1.75;227.6;NaN;397;18.7;0.025;1.4
1.775;228.9;NaN;413;18.7;0.025;1.3
1.8;230.1;NaN;428;18.7;0.025;1.2
1.825;231.3;NaN;443;18.7;0.025;1.2
1.85;232.4;NaN;458;18.7;0.025;1.1
